oa_id	ecotype_id	sample_name	latitude	longitude	locality	country	collector	collection_date	cs_number	sra_run	biosample	bioproject	library_layout	instrument_model	species	internal_data	internal_sample_name	elevation	ploidy	collection_notes	pooled_plants	include	country_code	country_name	dataset
OAKG0088	88	CYR	47.4	0.683333	CYR	FRA	Valerie Le Corre		CS76790	SRR1945435	SAMN03326279	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG0108	108	LDV-18	48.5167	-4.06667	LDV	FRA	Valerie Le Corre		CS77013	SRR1945436	SAMN03326280	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG0139	139	LDV-46	48.5167	-4.06667	LDV	FRA	Valerie Le Corre		CS77014	SRR1945437	SAMN03326281	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG0159	159	MAR2-3	47.35	3.93333	Mar2	FRA	Valerie Le Corre		CS77070	SRR1945438	SAMN03326282	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG0265	265	PYL-6	44.65	-1.16667	PYL	FRA	Valerie Le Corre		CS77198	SRR1945439	SAMN03326283	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG0350	350	TOU-A1-88	46.6667	4.11667	TOU-A1	FRA	Fabrice Roux		CS77382	SRR1945440	SAMN03326284	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG0351	351	TOU-A1-89	46.6667	4.11667	TOU-A1	FRA	Fabrice Roux		CS77383	SRR1945441	SAMN03326285	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG0403	403	Zdarec3	49.3667	16.2667	Zda-2	CZE	Marie-Theres Hauser		CS78873	SRR1945442	SAMN03326286	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	CZE	Czechia	KG
OAKG0410	410	Doubravnik7	49.4211	16.3497	Dou	CZE	Marie-Theres Hauser		CS76808	SRR1945443	SAMN03326287	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	CZE	Czechia	KG
OAKG0424	424	Draha2	49.4112	16.2815	Dra-1	CZE	Marie-Theres Hauser		CS76812	SRR1945444	SAMN03326288	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	CZE	Czechia	KG
OAKG0428	428	Borky1	49.403	16.232	Borky	CZE	Marie-Theres Hauser		CS76718	SRR1945445	SAMN03326289	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	CZE	Czechia	KG
OAKG0430	430	Gr-1	47	15.5	Graz	AUT	Albert Kranz		CS76496	SRR1945446	SAMN03326290	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	AUT	Austria	KG
OAKG0470	470	BRR4	40.8313	-87.735	BRR	USA	Diane Byers	2006-05-01 0:00:00	CS78943	SRR1945447	SAMN03326291	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0476	476	BRR12	40.8313	-87.735	BRR	USA	Diane Byers	2006-05-01 0:00:00	CS78944	SRR1945448	SAMN03326292	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0484	484	BRR23	40.8313	-87.735	BRR	USA	Diane Byers	2006-05-01 0:00:00	CS78945	SRR1945449	SAMN03326293	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0504	504	BRR57	40.8313	-87.735	BRR	USA	Diane Byers	2006-05-01 0:00:00	CS78946	SRR1945450	SAMN03326294	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0506	506	BRR60	40.8313	-87.735	BRR	USA	Diane Byers	2006-05-01 0:00:00	CS78947	SRR1945451	SAMN03326295	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0531	531	BRR107	40.8313	-87.735	BRR	USA	Diane Byers	2006-05-01 0:00:00	CS78948	SRR1945452	SAMN03326296	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0544	544	LI-WP-039	40.9076	-73.2089	Weld Preserve - WP	USA	Oliver Bossdorf	2006-04-01 0:00:00	CS78949	SRR1945453	SAMN03326297	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0546	546	LI-WP-041	40.9076	-73.2089	Weld Preserve - WP	USA	Oliver Bossdorf	2006-04-01 0:00:00	CS78950	SRR1945454	SAMN03326298	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0628	628	LI-OF-061	40.7777	-72.9069	Organic Farm - OF	USA	Oliver Bossdorf	2006-04-01 0:00:00	CS78951	SRR1945455	SAMN03326299	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0630	630	LI-OF-065	40.7777	-72.9069	Organic Farm - OF	USA	Oliver Bossdorf	2006-04-01 0:00:00	CS77036	SRR1945456	SAMN03326300	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0680	680	LI-RR-096	40.9447	-72.8615	Randall Road - RR	USA	Oliver Bossdorf	2006-04-01 0:00:00	CS78952	SRR1945457	SAMN03326301	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0681	681	LI-RR-097	40.9447	-72.8615	Randall Road - RR	USA	Oliver Bossdorf	2006-04-01 0:00:00	CS78953	SRR1945458	SAMN03326302	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0685	685	LI-EF-011	40.9064	-73.1493	East Farm - EF	USA	Oliver Bossdorf	2006-04-01 0:00:00	CS78954	SRR1945459	SAMN03326303	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG0687	687	LI-EF-018	40.9064	-73.1493	East Farm - EF	USA	Oliver Bossdorf	2006-04-01 0:00:00	CS78955	SRR1945460	SAMN03326304	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
