oa_id	dataset	ecotype_id	sample_name	biosample	species	latitude	longitude	elevation	locality	country	country_code	collector	collection_date	collection_notes	cs_number	ploidy	internal_data	pooled_plants
OAKG0088	KG	88	CYR	SAMN03326279	Arabidopsis thaliana	47.4	0.683333		CYR	FRA	FRA	Valerie Le Corre			CS76790			
OAKG0108	KG	108	LDV-18	SAMN03326280	Arabidopsis thaliana	48.5167	-4.06667		LDV	FRA	FRA	Valerie Le Corre			CS77013			
OAKG0139	KG	139	LDV-46	SAMN03326281	Arabidopsis thaliana	48.5167	-4.06667		LDV	FRA	FRA	Valerie Le Corre			CS77014			
OAKG0159	KG	159	MAR2-3	SAMN03326282	Arabidopsis thaliana	47.35	3.93333		Mar2	FRA	FRA	Valerie Le Corre			CS77070			
OAKG0265	KG	265	PYL-6	SAMN03326283	Arabidopsis thaliana	44.65	-1.16667		PYL	FRA	FRA	Valerie Le Corre			CS77198			
OAKG0350	KG	350	TOU-A1-88	SAMN03326284	Arabidopsis thaliana	46.6667	4.11667		TOU-A1	FRA	FRA	Fabrice Roux			CS77382			
OAKG0351	KG	351	TOU-A1-89	SAMN03326285	Arabidopsis thaliana	46.6667	4.11667		TOU-A1	FRA	FRA	Fabrice Roux			CS77383			
OAKG0403	KG	403	Zdarec3	SAMN03326286	Arabidopsis thaliana	49.3667	16.2667		Zda-2	CZE	CZE	Marie-Theres Hauser			CS78873			
OAKG0410	KG	410	Doubravnik7	SAMN03326287	Arabidopsis thaliana	49.4211	16.3497		Dou	CZE	CZE	Marie-Theres Hauser			CS76808			
OAKG0424	KG	424	Draha2	SAMN03326288	Arabidopsis thaliana	49.4112	16.2815		Dra-1	CZE	CZE	Marie-Theres Hauser			CS76812			
OAKG0428	KG	428	Borky1	SAMN03326289	Arabidopsis thaliana	49.403	16.232		Borky	CZE	CZE	Marie-Theres Hauser			CS76718			
OAKG0430	KG	430	Gr-1	SAMN03326290	Arabidopsis thaliana	47	15.5		Graz	AUT	AUT	Albert Kranz			CS76496			
OAKG0470	KG	470	BRR4	SAMN03326291	Arabidopsis thaliana	40.8313	-87.735		BRR	USA	USA	Diane Byers	2006-05-01 0:00:00		CS78943			
OAKG0476	KG	476	BRR12	SAMN03326292	Arabidopsis thaliana	40.8313	-87.735		BRR	USA	USA	Diane Byers	2006-05-01 0:00:00		CS78944			
OAKG0484	KG	484	BRR23	SAMN03326293	Arabidopsis thaliana	40.8313	-87.735		BRR	USA	USA	Diane Byers	2006-05-01 0:00:00		CS78945			
OAKG0504	KG	504	BRR57	SAMN03326294	Arabidopsis thaliana	40.8313	-87.735		BRR	USA	USA	Diane Byers	2006-05-01 0:00:00		CS78946			
OAKG0506	KG	506	BRR60	SAMN03326295	Arabidopsis thaliana	40.8313	-87.735		BRR	USA	USA	Diane Byers	2006-05-01 0:00:00		CS78947			
OAKG0531	KG	531	BRR107	SAMN03326296	Arabidopsis thaliana	40.8313	-87.735		BRR	USA	USA	Diane Byers	2006-05-01 0:00:00		CS78948			
OAKG0544	KG	544	LI-WP-039	SAMN03326297	Arabidopsis thaliana	40.9076	-73.2089		Weld Preserve - WP	USA	USA	Oliver Bossdorf	2006-04-01 0:00:00		CS78949			
OAKG0546	KG	546	LI-WP-041	SAMN03326298	Arabidopsis thaliana	40.9076	-73.2089		Weld Preserve - WP	USA	USA	Oliver Bossdorf	2006-04-01 0:00:00		CS78950			
OAKG0628	KG	628	LI-OF-061	SAMN03326299	Arabidopsis thaliana	40.7777	-72.9069		Organic Farm - OF	USA	USA	Oliver Bossdorf	2006-04-01 0:00:00		CS78951			
OAKG0630	KG	630	LI-OF-065	SAMN03326300	Arabidopsis thaliana	40.7777	-72.9069		Organic Farm - OF	USA	USA	Oliver Bossdorf	2006-04-01 0:00:00		CS77036			
OAKG0680	KG	680	LI-RR-096	SAMN03326301	Arabidopsis thaliana	40.9447	-72.8615		Randall Road - RR	USA	USA	Oliver Bossdorf	2006-04-01 0:00:00		CS78952			
OAKG0681	KG	681	LI-RR-097	SAMN03326302	Arabidopsis thaliana	40.9447	-72.8615		Randall Road - RR	USA	USA	Oliver Bossdorf	2006-04-01 0:00:00		CS78953			
OAKG0685	KG	685	LI-EF-011	SAMN03326303	Arabidopsis thaliana	40.9064	-73.1493		East Farm - EF	USA	USA	Oliver Bossdorf	2006-04-01 0:00:00		CS78954			
OAKG0687	KG	687	LI-EF-018	SAMN03326304	Arabidopsis thaliana	40.9064	-73.1493		East Farm - EF	USA	USA	Oliver Bossdorf	2006-04-01 0:00:00		CS78955			
OAKG0728	KG	728	LI-SET-019	SAMN03326305	Arabidopsis thaliana	40.9352	-73.114		Setauket - SET	USA	USA	Oliver Bossdorf	2006-04-01 0:00:00		CS78956			
