sra_run	biosample	bioproject	instrument_model	library_layout	oa_id
SRR1945435	SAMN03326279	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0088
SRR1945436	SAMN03326280	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0108
SRR1945437	SAMN03326281	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0139
SRR1945438	SAMN03326282	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0159
SRR1945439	SAMN03326283	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0265
SRR1945440	SAMN03326284	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0350
SRR1945441	SAMN03326285	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0351
SRR1945442	SAMN03326286	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0403
SRR1945443	SAMN03326287	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0410
SRR1945444	SAMN03326288	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0424
SRR1945445	SAMN03326289	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0428
SRR1945446	SAMN03326290	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0430
SRR1945447	SAMN03326291	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0470
SRR1945448	SAMN03326292	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0476
SRR1945449	SAMN03326293	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0484
SRR1945450	SAMN03326294	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0504
SRR1945451	SAMN03326295	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0506
SRR1945452	SAMN03326296	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0531
SRR1945453	SAMN03326297	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0544
SRR1945454	SAMN03326298	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0546
SRR1945455	SAMN03326299	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0628
SRR1945456	SAMN03326300	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0630
SRR1945457	SAMN03326301	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0680
SRR1945458	SAMN03326302	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0681
SRR1945459	SAMN03326303	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0685
SRR1945460	SAMN03326304	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0687
SRR1945461	SAMN03326305	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0728
SRR1945462	SAMN03326306	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0742
SRR1945463	SAMN03326307	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0763
SRR1945464	SAMN03326308	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0765
SRR1945465	SAMN03326309	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0766
SRR1945466	SAMN03326310	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0768
SRR1945467	SAMN03326311	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG0772
