library	run	sample	include	is_sra
SRR1945435	PRJNA273563	OAKG0088	Y	Y
SRR1945436	PRJNA273563	OAKG0108	Y	Y
SRR1945437	PRJNA273563	OAKG0139	Y	Y
SRR1945438	PRJNA273563	OAKG0159	Y	Y
SRR1945439	PRJNA273563	OAKG0265	Y	Y
SRR1945440	PRJNA273563	OAKG0350	Y	Y
SRR1945441	PRJNA273563	OAKG0351	Y	Y
SRR1945442	PRJNA273563	OAKG0403	Y	Y
SRR1945443	PRJNA273563	OAKG0410	Y	Y
SRR1945444	PRJNA273563	OAKG0424	Y	Y
SRR1945445	PRJNA273563	OAKG0428	Y	Y
SRR1945446	PRJNA273563	OAKG0430	Y	Y
SRR1945447	PRJNA273563	OAKG0470	Y	Y
SRR1945448	PRJNA273563	OAKG0476	Y	Y
SRR1945449	PRJNA273563	OAKG0484	Y	Y
SRR1945450	PRJNA273563	OAKG0504	Y	Y
SRR1945451	PRJNA273563	OAKG0506	Y	Y
SRR1945452	PRJNA273563	OAKG0531	Y	Y
SRR1945453	PRJNA273563	OAKG0544	Y	Y
SRR1945454	PRJNA273563	OAKG0546	Y	Y
SRR1945455	PRJNA273563	OAKG0628	Y	Y
SRR1945456	PRJNA273563	OAKG0630	Y	Y
SRR1945457	PRJNA273563	OAKG0680	Y	Y
SRR1945458	PRJNA273563	OAKG0681	Y	Y
SRR1945459	PRJNA273563	OAKG0685	Y	Y
SRR1945460	PRJNA273563	OAKG0687	Y	Y
SRR1945461	PRJNA273563	OAKG0728	Y	Y
SRR1945462	PRJNA273563	OAKG0742	Y	Y
SRR1945463	PRJNA273563	OAKG0763	Y	Y
SRR1945464	PRJNA273563	OAKG0765	Y	Y
SRR1945465	PRJNA273563	OAKG0766	Y	Y
SRR1945466	PRJNA273563	OAKG0768	Y	Y
SRR1945467	PRJNA273563	OAKG0772	Y	Y
SRR1945468	PRJNA273563	OAKG0801	Y	Y
SRR1945469	PRJNA273563	OAKG0853	Y	Y
SRR1945470	PRJNA273563	OAKG0854	Y	Y
SRR1945471	PRJNA273563	OAKG0867	Y	Y
SRR1945472	PRJNA273563	OAKG0868	Y	Y
SRR1945473	PRJNA273563	OAKG0870	Y	Y
SRR1945474	PRJNA273563	OAKG0915	Y	Y
SRR1945475	PRJNA273563	OAKG0932	Y	Y
SRR1945476	PRJNA273563	OAKG0991	Y	Y
SRR1945477	PRJNA273563	OAKG0992	Y	Y
SRR1945478	PRJNA273563	OAKG0997	Y	Y
SRR1945479	PRJNA273563	OAKG1002	Y	Y
SRR1945480	PRJNA273563	OAKG1006	Y	Y
SRR1945481	PRJNA273563	OAKG1061	Y	Y
SRR1945482	PRJNA273563	OAKG1062	Y	Y
SRR1945483	PRJNA273563	OAKG1063	Y	Y
SRR1945484	PRJNA273563	OAKG1066	Y	Y
SRR1945485	PRJNA273563	OAKG1070	Y	Y
SRR1945486	PRJNA273563	OAKG1158	Y	Y
SRR1945487	PRJNA273563	OAKG1166	Y	Y
SRR1945488	PRJNA273563	OAKG1254	Y	Y
SRR1945489	PRJNA273563	OAKG1257	Y	Y
SRR1945490	PRJNA273563	OAKG1313	Y	Y
SRR1945491	PRJNA273563	OAKG1317	Y	Y
SRR1945492	PRJNA273563	OAKG1552	Y	Y
SRR1945493	PRJNA273563	OAKG1612	Y	Y
SRR1945494	PRJNA273563	OAKG1622	Y	Y
SRR1945495	PRJNA273563	OAKG1651	Y	Y
SRR1945496	PRJNA273563	OAKG1652	Y	Y
SRR1945497	PRJNA273563	OAKG1676	Y	Y
SRR1945498	PRJNA273563	OAKG1684	Y	Y
SRR1945499	PRJNA273563	OAKG1739	Y	Y
SRR1945500	PRJNA273563	OAKG1741	Y	Y
SRR1945501	PRJNA273563	OAKG1756	Y	Y
SRR1945502	PRJNA273563	OAKG1757	Y	Y
SRR1945503	PRJNA273563	OAKG1793	Y	Y
SRR1945504	PRJNA273563	OAKG1797	Y	Y
SRR1945505	PRJNA273563	OAKG1819	Y	Y
SRR1945506	PRJNA273563	OAKG1820	Y	Y
SRR1945507	PRJNA273563	OAKG1829	Y	Y
SRR1945508	PRJNA273563	OAKG1834	Y	Y
SRR1945509	PRJNA273563	OAKG1835	Y	Y
SRR1945510	PRJNA273563	OAKG1851	Y	Y
