Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Tissue
SRR1945435,not applicable,WGS,200,3004557200,PRJNA273563,SAMN03326279,Plant,2166276906,MPI-DB,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,88,SRX972118,France,Europe,France,Illumina HiSeq 2000,88,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,88,SRP056687,leaf
SRR1945436,not applicable,WGS,200,5118338400,PRJNA273563,SAMN03326280,Plant,3644021158,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,108,SRX972119,France,Europe,France,Illumina HiSeq 2000,108,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,108,SRP056687,leaf
SRR1945437,not applicable,WGS,200,3783892600,PRJNA273563,SAMN03326281,Plant,2705787859,MPI-DB,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,139,SRX972120,France,Europe,France,Illumina HiSeq 2000,139,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,139,SRP056687,leaf
SRR1945438,not applicable,WGS,200,4145826600,PRJNA273563,SAMN03326282,Plant,2959529833,MPI-DB,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,159,SRX972121,France,Europe,France,Illumina HiSeq 2000,159,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,159,SRP056687,leaf
SRR1945439,not applicable,WGS,200,5511389600,PRJNA273563,SAMN03326283,Plant,3932289922,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,265,SRX972122,France,Europe,France,Illumina HiSeq 2000,265,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,265,SRP056687,leaf
SRR1945440,not applicable,WGS,200,4310445800,PRJNA273563,SAMN03326284,Plant,3072478656,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,350,SRX972123,France,Europe,France,Illumina HiSeq 2000,350,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,350,SRP056687,leaf
SRR1945441,not applicable,WGS,200,5686335800,PRJNA273563,SAMN03326285,Plant,4054129785,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,351,SRX972124,France,Europe,France,Illumina HiSeq 2000,351,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,351,SRP056687,leaf
SRR1945442,not applicable,WGS,200,4871215200,PRJNA273563,SAMN03326286,Plant,3482313292,MPI-DB,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,403,SRX972125,Czech Republic,Europe,Czech Republic,Illumina HiSeq 2000,403,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,403,SRP056687,leaf
SRR1945443,not applicable,WGS,200,3761586600,PRJNA273563,SAMN03326287,Plant,2678790032,MPI-DB,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,410,SRX972126,Czech Republic,Europe,Czech Republic,Illumina HiSeq 2000,410,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,410,SRP056687,leaf
SRR1945444,not applicable,WGS,200,4228750000,PRJNA273563,SAMN03326288,Plant,3015005486,MPI-DB,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,424,SRX972127,Czech Republic,Europe,Czech Republic,Illumina HiSeq 2000,424,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-06T00:00:00Z,424,SRP056687,leaf
