Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,description,ena_checklist,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_name,specimen_voucher,SRA_accession,SRA Study,title,lat_lon,sub_species
ERR2182749,Aare-GL-20,WGS,302,2326942012,PRJEB23202,SAMEA104359514,1150541625,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",18-Jul-1967,public,"fastq,sra","s3,gs,ena,ncbi","s3.us-east-1,ncbi.public,gs.US,ena",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238916,Greenland,North America,Greenland,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-GL-20,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359514,ERS1984492,DAO 314914,ERS1984492,ERP104939,Arabidopsis arenicola,60.22 N 44.4 W,
ERR2182750,Aare-GL-21,WGS,302,2889822296,PRJEB23202,SAMEA104359515,1495658854,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",08/12/1975,public,"sra,fastq","ncbi,s3,gs,ena","ena,ncbi.public,s3.us-east-1,gs.US",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238917,Greenland,North America,Greenland,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-GL-21,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359515,ERS1984493,DAO 592686,ERS1984493,ERP104939,Arabidopsis arenicola,69.58 N 54.12 W,
ERR2182751,Aare-MB-01,WGS,302,2017764378,PRJEB23202,SAMEA104359516,1008721451,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",16-Jun-1955,public,"sra,fastq","s3,ncbi,ena,gs","ena,ncbi.public,s3.us-east-1,gs.US",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238918,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-MB-01,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359516,ERS1984494,DAO 796086,ERS1984494,ERP104939,Arabidopsis arenicola,,
ERR2182752,Aare-MB-02,WGS,302,2390898062,PRJEB23202,SAMEA104359517,1303070355,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",23-Jul-2009,public,"fastq,sra","gs,ena,ncbi,s3","ncbi.public,s3.us-east-1,gs.US,ena",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238919,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-MB-02,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359517,ERS1984495,DAO 844782,ERS1984495,ERP104939,Arabidopsis arenicola,58.47 N 94.11 W,
ERR2182753,Aare-NT-03,WGS,302,1917507626,PRJEB23202,SAMEA104359518,975847347,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",19-Aug-1971,public,"sra,fastq","ncbi,gs,s3,ena","ena,ncbi.public,gs.US,s3.us-east-1",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238920,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-NT-03,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359518,ERS1984496,DAO 613335,ERS1984496,ERP104939,Arabidopsis arenicola,59.43 N 80.05 W,
ERR2182754,Aare-NT-04,WGS,302,2833835724,PRJEB23202,SAMEA104359519,1482986925,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",08/03/1973,public,"fastq,sra","gs,ena,s3,ncbi","gs.US,ncbi.public,s3.us-east-1,ena",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238921,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-NT-04,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359519,ERS1984497,DAO 652640,ERS1984497,ERP104939,Arabidopsis arenicola,66.51 N 108.01 W,
ERR2182755,Aare-NT-06,WGS,302,2807170332,PRJEB23202,SAMEA104359520,1527376630,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",08/03/1994,public,"sra,fastq","ncbi,s3,ena,gs","s3.us-east-1,ena,gs.US,ncbi.public",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238922,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-NT-06,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359520,ERS1984498,DAO 682886,ERS1984498,ERP104939,Arabidopsis arenicola,64.52 N 111.37 W,
ERR2182756,Aare-NU-08,WGS,302,6088281344,PRJEB23202,SAMEA104359521,3390412485,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",18-Aug-1970,public,"fastq,sra","gs,ncbi,ena,s3","gs.US,ncbi.public,s3.us-east-1,ena",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238923,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-NU-08,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359521,ERS1984499,DAO 833232,ERS1984499,ERP104939,Arabidopsis arenicola,,
ERR2182757,Aare-NU-09,WGS,302,2429536546,PRJEB23202,SAMEA104359522,1238930107,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",30-Jun-1973,public,"fastq,sra","gs,ena,ncbi,s3","s3.us-east-1,ncbi.public,ena,gs.US",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238924,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-NU-09,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359522,ERS1984500,DAO 653472,ERS1984500,ERP104939,Arabidopsis arenicola,53.18 N 80.0 W,
ERR2182758,Aare-QC-11,WGS,302,2800430900,PRJEB23202,SAMEA104359523,1485398032,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",08-Aug-1987,public,"fastq,sra","ncbi,s3,ena,gs","gs.US,ncbi.public,s3.us-east-1,ena",WGS of Arabidopsis arenicola,ERC000011,2017-12-25,2018-11-16,ERX2238925,Canada,North America,Canada,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2017-12-25T17:02:39Z,2017-10-26T13:42:48Z,public,Illumina HiSeq 2500,Aare-QC-11,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis arenicola,ILLUMINA,2017-12-26T00:00:00Z,SAMEA104359523,ERS1984501,DAO 785008,ERS1984501,ERP104939,Arabidopsis arenicola,54.38 N 79.44 W,
