study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	instrument_model	library_layout	sample_alias
PRJEB19780	SAMEA102761668	ERS1575130	ERX2085872	ERR2026739	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Aitba
PRJEB19780	SAMEA102762418	ERS1575131	ERX2085873	ERR2026740	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Ita-0
PRJEB19780	SAMEA102713668	ERS1575066	ERX2085874	ERR2026741	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Ait14
PRJEB19780	SAMEA102714418	ERS1575067	ERX2085875	ERR2026742	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Ait9
PRJEB19780	SAMEA102715918	ERS1575069	ERX2085876	ERR2026743	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Arb2
PRJEB19780	SAMEA102715168	ERS1575068	ERX2085877	ERR2026744	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Arb0
PRJEB19780	SAMEA102716668	ERS1575070	ERX2085878	ERR2026745	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elh10
PRJEB19780	SAMEA102717418	ERS1575071	ERX2085879	ERR2026746	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elh15
PRJEB19780	SAMEA102718918	ERS1575073	ERX2085880	ERR2026747	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elh23
PRJEB19780	SAMEA102719668	ERS1575074	ERX2085881	ERR2026748	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elh2
PRJEB19780	SAMEA102721168	ERS1575076	ERX2085882	ERR2026749	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elh33
PRJEB19780	SAMEA102721918	ERS1575077	ERX2085883	ERR2026750	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elh39
PRJEB19780	SAMEA102722668	ERS1575078	ERX2085884	ERR2026751	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elh46
PRJEB19780	SAMEA102723418	ERS1575079	ERX2085885	ERR2026752	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elh52
PRJEB19780	SAMEA102718168	ERS1575072	ERX2085886	ERR2026753	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elh20
PRJEB19780	SAMEA102720418	ERS1575075	ERX2085887	ERR2026754	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Elh27
PRJEB19780	SAMEA102724918	ERS1575081	ERX2085888	ERR2026755	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Set6
PRJEB19780	SAMEA102724168	ERS1575080	ERX2085889	ERR2026756	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Set0
PRJEB19780	SAMEA102726418	ERS1575083	ERX2085890	ERR2026757	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Bba1
PRJEB19780	SAMEA102727168	ERS1575084	ERX2085891	ERR2026758	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Bba2
PRJEB19780	SAMEA102725668	ERS1575082	ERX2085892	ERR2026759	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Bba0
PRJEB19780	SAMEA102728668	ERS1575086	ERX2085893	ERR2026760	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Meh4
PRJEB19780	SAMEA102729418	ERS1575087	ERX2085894	ERR2026761	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Meh7
PRJEB19780	SAMEA102727918	ERS1575085	ERX2085895	ERR2026762	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Meh0
PRJEB19780	SAMEA102730918	ERS1575089	ERX2085896	ERR2026763	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Tah4
PRJEB19780	SAMEA102730168	ERS1575088	ERX2085897	ERR2026764	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Tah0
PRJEB19780	SAMEA102732418	ERS1575091	ERX2085898	ERR2026765	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Taz11
PRJEB19780	SAMEA102733168	ERS1575092	ERX2085899	ERR2026766	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Taz16
PRJEB19780	SAMEA102733918	ERS1575093	ERX2085900	ERR2026767	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Taz18
PRJEB19780	SAMEA102731668	ERS1575090	ERX2085901	ERR2026768	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Taz0
PRJEB19780	SAMEA102735418	ERS1575095	ERX2085902	ERR2026769	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Tiz7
PRJEB19780	SAMEA102734668	ERS1575094	ERX2085903	ERR2026770	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Tiz0
PRJEB19780	SAMEA102736918	ERS1575097	ERX2085904	ERR2026771	Arabidopsis thaliana	Illumina HiSeq 2500	PAIRED	Bab3
