Run,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Alias,ENA_checklist,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,SRA_accession,title,AvgSpotLen,Bases,Bytes,AssemblyName,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE
ERR2026739,WGS,PRJEB19780,SAMEA102761668,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,bam,ena,ena,2017-07-05,2018-11-16,ERX2085872,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102761668,ERP021844,Aitba,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:18Z,public,ERS1575130,ERS1575130,African Arabidopsis thaliana,,,,,,
ERR2026740,WGS,PRJEB19780,SAMEA102762418,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,bam,ena,ena,2017-07-05,2018-11-16,ERX2085873,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102762418,ERP021844,Ita-0,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:18Z,public,ERS1575131,ERS1575131,African Arabidopsis thaliana,,,,,,
ERR2026741,WGS,PRJEB19780,SAMEA102713668,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"sra,bam","s3,gs,ena,ncbi","gs.US,s3.us-east-1,ena,ncbi.public",2017-07-05,2018-11-16,ERX2085874,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102713668,ERP021844,Ait14,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575066,ERS1575066,African Arabidopsis thaliana,240,7797459120,2971922646,,,
ERR2026742,WGS,PRJEB19780,SAMEA102714418,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","ena,gs,s3,ncbi","ena,gs.US,s3.us-east-1,ncbi.public",2017-07-05,2018-11-16,ERX2085875,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102714418,ERP021844,Ait9,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575067,ERS1575067,African Arabidopsis thaliana,240,4743742560,1801047313,,,
ERR2026743,WGS,PRJEB19780,SAMEA102715918,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"sra,bam","ncbi,s3,ena,gs","ena,ncbi.public,gs.US,s3.us-east-1",2017-07-05,2018-11-16,ERX2085876,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102715918,ERP021844,Arb2,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575069,ERS1575069,African Arabidopsis thaliana,250,5802886250,2114298827,,,
ERR2026744,WGS,PRJEB19780,SAMEA102715168,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","ncbi,ena,gs,s3","ena,ncbi.public,gs.US,s3.us-east-1",2017-07-05,2018-11-16,ERX2085877,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102715168,ERP021844,Arb0,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575068,ERS1575068,African Arabidopsis thaliana,200,6016593800,3899094577,,,
ERR2026745,WGS,PRJEB19780,SAMEA102716668,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","gs,s3,ena,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",2017-07-05,2018-11-16,ERX2085878,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102716668,ERP021844,Elh10,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575070,ERS1575070,African Arabidopsis thaliana,250,6130192250,2184003731,,,
ERR2026746,WGS,PRJEB19780,SAMEA102717418,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,ena,gs.US",2017-07-05,2018-11-16,ERX2085879,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102717418,ERP021844,Elh15,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575071,ERS1575071,African Arabidopsis thaliana,250,5447218500,1991521597,,,
ERR2026747,WGS,PRJEB19780,SAMEA102718918,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"bam,sra","ena,gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1,ena",2017-07-05,2018-11-16,ERX2085880,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102718918,ERP021844,Elh23,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575073,ERS1575073,African Arabidopsis thaliana,250,6073120750,2187240004,,,
ERR2026748,WGS,PRJEB19780,SAMEA102719668,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,public,"sra,bam","s3,ena,ncbi,gs","gs.US,s3.us-east-1,ena,ncbi.public",2017-07-05,2018-11-16,ERX2085881,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2017-07-06T00:00:00Z,SAMEA102719668,ERP021844,Elh2,ERC000011,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH,2017-07-05T17:02:10Z,2017-05-29T14:09:17Z,public,ERS1575074,ERS1575074,African Arabidopsis thaliana,250,5640072750,2020387339,,,
