Run,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,population_replicate,Population,ReleaseDate,Sample Name,SRA Study,tissue
SRR12778275,WGS,253,3818412500,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378473,Plant,1710832332,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",developed rosettes of adult plants,Non-serpentine,SRX9247938,Austria,Europe,Austria: Fuglau,HiSeq X Ten,N2_02,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,2,N2,2021-02-02T00:00:00Z,N2_02,SRP286483,leaf
SRR12778276,WGS,251,4785111480,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378472,Plant,2051571825,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",developed rosettes of adult plants,Non-serpentine,SRX9247937,Austria,Europe,Austria: Fuglau,HiSeq X Ten,N2_01,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,1,N2,2021-02-02T00:00:00Z,N2_01,SRP286483,leaf
SRR12778277,WGS,250,3945572620,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378471,Plant,1791802749,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",developed rosettes of adult plants,Serpentine,SRX9247936,Czech Republic,Europe,Czech Republic: Borovsko,HiSeq X Ten,S1_08,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,8,S1,2021-02-02T00:00:00Z,S1_08,SRP286483,leaf
SRR12778278,WGS,253,4773745106,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378533,Plant,2059959575,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",developed rosettes of adult plants,Non-serpentine,SRX9247935,Austria,Europe,Austria: Vorberg,HiSeq X Ten,N4_08,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,8,N4,2021-02-02T00:00:00Z,N4_08,SRP286483,leaf
SRR12778279,WGS,251,4742194562,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378532,Plant,2056380004,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",developed rosettes of adult plants,Non-serpentine,SRX9247934,Austria,Europe,Austria: Vorberg,HiSeq X Ten,N4_07,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,7,N4,2021-02-02T00:00:00Z,N4_07,SRP286483,leaf
SRR12778280,WGS,253,4603064672,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378531,Plant,2069345207,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",developed rosettes of adult plants,Non-serpentine,SRX9247933,Austria,Europe,Austria: Vorberg,HiSeq X Ten,N4_06,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,6,N4,2021-02-02T00:00:00Z,N4_06,SRP286483,leaf
SRR12778281,WGS,251,4300044365,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378530,Plant,1953944660,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",developed rosettes of adult plants,Non-serpentine,SRX9247932,Austria,Europe,Austria: Vorberg,HiSeq X Ten,N4_05,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,5,N4,2021-02-02T00:00:00Z,N4_05,SRP286483,leaf
SRR12778282,WGS,253,4690254186,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378529,Plant,2121690455,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",developed rosettes of adult plants,Non-serpentine,SRX9247931,Austria,Europe,Austria: Vorberg,HiSeq X Ten,N4_04,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,4,N4,2021-02-02T00:00:00Z,N4_04,SRP286483,leaf
SRR12778283,WGS,250,5097910698,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378528,Plant,2188631821,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",developed rosettes of adult plants,Non-serpentine,SRX9247930,Austria,Europe,Austria: Vorberg,HiSeq X Ten,N4_03,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,3,N4,2021-02-02T00:00:00Z,N4_03,SRP286483,leaf
SRR12778284,WGS,251,4722312241,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378527,Plant,2036368374,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",developed rosettes of adult plants,Non-serpentine,SRX9247929,Austria,Europe,Austria: Vorberg,HiSeq X Ten,N4_02,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,2,N4,2021-02-02T00:00:00Z,N4_02,SRP286483,leaf
SRR12778285,WGS,253,5444229349,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378526,Plant,2338613560,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",developed rosettes of adult plants,Non-serpentine,SRX9247928,Austria,Europe,Austria: Vorberg,HiSeq X Ten,N4_01,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,1,N4,2021-02-02T00:00:00Z,N4_01,SRP286483,leaf
SRR12778286,WGS,253,4236975289,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378525,Plant,1827386457,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",developed rosettes of adult plants,Non-serpentine,SRX9247927,Czech Republic,Europe,Czech Republic: Vlastejovice,HiSeq X Ten,N1_08,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,8,N1,2021-02-02T00:00:00Z,N1_08,SRP286483,leaf
SRR12778287,WGS,253,4939787273,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378524,Plant,2133525420,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",developed rosettes of adult plants,Non-serpentine,SRX9247926,Czech Republic,Europe,Czech Republic: Vlastejovice,HiSeq X Ten,N1_07,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,7,N1,2021-02-02T00:00:00Z,N1_07,SRP286483,leaf
SRR12778288,WGS,251,3971155644,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378470,Plant,1814901204,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",developed rosettes of adult plants,Serpentine,SRX9247925,Czech Republic,Europe,Czech Republic: Borovsko,HiSeq X Ten,S1_07,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,7,S1,2021-02-02T00:00:00Z,S1_07,SRP286483,leaf
