Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,population,ReleaseDate,Sample Name,SRA Study,Tissue
SRR8241410,not applicable,WGS,250,2681025250,PRJNA506705,SAMN10471616,Plant,1213925048,ETHZ,public,not applicable,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",not applicable,not applicable,SRX5059726,Poland,Europe,Poland: Zakopane,Illumina HiSeq 2500,not applicable,49.278343 N 19.96706 E,Zako_002_h08,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Zapa,2019-06-03T00:00:00Z,Zako_halleri_HM,SRP170654,leaf
SRR8241411,not applicable,WGS,250,4051022750,PRJNA506705,SAMN10471609,Plant,1812345838,ETHZ,public,not applicable,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,SRX5059725,Poland,Europe,Poland: Kletno,Illumina HiSeq 2500,not applicable,50.2440833 N 16.848417 E,Klet_001_a09,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,Klet,2019-06-03T00:00:00Z,Klet_arenosa_HM,SRP170654,leaf
SRR8241412,not applicable,WGS,250,4590034750,PRJNA506705,SAMN10471609,Plant,2116281774,ETHZ,public,not applicable,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX5059724,Poland,Europe,Poland: Kletno,Illumina HiSeq 2500,not applicable,50.2440833 N 16.848417 E,Klet_001_a07,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,Klet,2019-06-03T00:00:00Z,Klet_arenosa_HM,SRP170654,leaf
SRR8241413,not applicable,WGS,250,3405161250,PRJNA506705,SAMN10471609,Plant,1542313980,ETHZ,public,not applicable,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX5059723,Poland,Europe,Poland: Kletno,Illumina HiSeq 2500,not applicable,50.2440833 N 16.848417 E,Klet_005_a18,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,Klet,2019-06-03T00:00:00Z,Klet_arenosa_HM,SRP170654,leaf
SRR8241414,not applicable,WGS,250,3007668000,PRJNA506705,SAMN10471609,Plant,1360234180,ETHZ,public,not applicable,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,not applicable,SRX5059722,Poland,Europe,Poland: Kletno,Illumina HiSeq 2500,not applicable,50.2440833 N 16.848417 E,Klet_001_a10,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,Klet,2019-06-03T00:00:00Z,Klet_arenosa_HM,SRP170654,leaf
SRR8241415,not applicable,WGS,250,4010409250,PRJNA506705,SAMN10471609,Plant,1786847677,ETHZ,public,not applicable,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX5059721,Poland,Europe,Poland: Kletno,Illumina HiSeq 2500,not applicable,50.2440833 N 16.848417 E,Klet_005_a21,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,Klet,2019-06-03T00:00:00Z,Klet_arenosa_HM,SRP170654,leaf
SRR8241416,not applicable,WGS,250,2948643750,PRJNA506705,SAMN10471609,Plant,1297549372,ETHZ,public,not applicable,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,SRX5059720,Poland,Europe,Poland: Kletno,Illumina HiSeq 2500,not applicable,50.2440833 N 16.848417 E,Klet_005_a19,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,Klet,2019-06-03T00:00:00Z,Klet_arenosa_HM,SRP170654,leaf
SRR8241417,not applicable,WGS,250,5014552000,PRJNA506705,SAMN10471609,Plant,2236751985,ETHZ,public,not applicable,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX5059719,Poland,Europe,Poland: Kletno,Illumina HiSeq 2500,not applicable,50.2440833 N 16.848417 E,Klet_005_a32,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,Klet,2019-06-03T00:00:00Z,Klet_arenosa_HM,SRP170654,leaf
SRR8241418,not applicable,WGS,250,5308055750,PRJNA506705,SAMN10471609,Plant,2426030354,ETHZ,public,not applicable,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX5059718,Poland,Europe,Poland: Kletno,Illumina HiSeq 2500,not applicable,50.2440833 N 16.848417 E,Klet_005_a28,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,Klet,2019-06-03T00:00:00Z,Klet_arenosa_HM,SRP170654,leaf
SRR8241419,not applicable,WGS,250,2933267500,PRJNA506705,SAMN10471610,Plant,1321454454,ETHZ,public,not applicable,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX5059717,Poland,Europe,Poland: Kowary,Illumina HiSeq 2500,not applicable,50.763153 N 15.8439 E,Kowa_001_a05,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,Kowa,2019-06-03T00:00:00Z,Kowa_arenosa_HM,SRP170654,leaf
SRR8241420,not applicable,WGS,250,3872599500,PRJNA506705,SAMN10471610,Plant,1756923160,ETHZ,public,not applicable,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX5059716,Poland,Europe,Poland: Kowary,Illumina HiSeq 2500,not applicable,50.763153 N 15.8439 E,Kowa_001_a04,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,Kowa,2019-06-03T00:00:00Z,Kowa_arenosa_HM,SRP170654,leaf
SRR8241421,not applicable,WGS,250,2395526000,PRJNA506705,SAMN10471613,Plant,1106179568,ETHZ,public,not applicable,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX5059715,Poland,Europe,Poland: Kletno,Illumina HiSeq 2500,not applicable,50.2440833 N 16.848417 E,Klet_002_h01,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Klet,2019-06-03T00:00:00Z,Klet_halleri_HM,SRP170654,leaf
SRR8241422,not applicable,WGS,250,2471867750,PRJNA506705,SAMN10471612,Plant,1109769365,ETHZ,public,not applicable,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX5059714,Poland,Europe,Poland: Zakopane,Illumina HiSeq 2500,not applicable,49.278343 N 19.96706 E,Zapa_008_a19,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,Zapa,2019-06-03T00:00:00Z,Zapa_arenosa_HM,SRP170654,leaf
SRR8241423,not applicable,WGS,250,3174021500,PRJNA506705,SAMN10471611,Plant,1446083640,ETHZ,public,not applicable,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX5059713,Poland,Europe,Poland: Miasteczko _l_skie,Illumina HiSeq 2500,not applicable,50.5030833 N 18.93817 E,Mias_003_a11,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,Mias,2019-06-03T00:00:00Z,Mias_arenosa_HM,SRP170654,leaf
