"Population"	"Species"	"Population_SoilType"	"Individual_No"
"Klet"	"A. arenosa"	"M"	"Klet_001_a07"
"Klet"	"A. arenosa"	"M"	"Klet_001_a08"
"Klet"	"A. arenosa"	"M"	"Klet_001_a09"
"Klet"	"A. arenosa"	"M"	"Klet_001_a10"
"Klet"	"A. arenosa"	"M"	"Klet_005_a18"
"Klet"	"A. arenosa"	"M"	"Klet_005_a19"
"Klet"	"A. arenosa"	"M"	"Klet_005_a21"
"Klet"	"A. arenosa"	"M"	"Klet_005_a28"
"Klet"	"A. arenosa"	"M"	"Klet_005_a32"
"Kowa"	"A. arenosa"	"NM"	"Kowa_001_a04"
"Kowa"	"A. arenosa"	"NM"	"Kowa_001_a05"
"Kowa"	"A. arenosa"	"NM"	"Kowa_001_a06"
"Kowa"	"A. arenosa"	"NM"	"Kowa_001_a07"
"Kowa"	"A. arenosa"	"NM"	"Kowa_001_a08"
"Kowa"	"A. arenosa"	"NM"	"Kowa_001_a09"
"Kowa"	"A. arenosa"	"NM"	"Kowa_001_a11"
"Kowa"	"A. arenosa"	"NM"	"Kowa_001_a12"
"Mias"	"A. arenosa"	"M"	"Mias_001_a18"
"Mias"	"A. arenosa"	"M"	"Mias_003_a10"
"Mias"	"A. arenosa"	"M"	"Mias_003_a09"
"Mias"	"A. arenosa"	"M"	"Mias_003_a11"
"Mias"	"A. arenosa"	"M"	"Mias_003_a13"
"Mias"	"A. arenosa"	"M"	"Mias_003_a15"
"Mias"	"A. arenosa"	"M"	"Mias_003_a16"
"Zapa"	"A. arenosa"	"NM"	"Zapa_002_a01"
"Zapa"	"A. arenosa"	"NM"	"Zapa_002_a02"
"Zapa"	"A. arenosa"	"NM"	"Zapa_002_a03"
"Zapa"	"A. arenosa"	"NM"	"Zapa_002_a04"
"Zapa"	"A. arenosa"	"NM"	"Zapa_002_a05"
"Zapa"	"A. arenosa"	"NM"	"Zapa_002_a07"
"Zapa"	"A. arenosa"	"NM"	"Zapa_004_a11"
"Zapa"	"A. arenosa"	"NM"	"Zapa_008_a19"
"Klet"	"A. halleri"	"M"	"Klet_002_h01"
"Klet"	"A. halleri"	"M"	"Klet_002_h04"
"Klet"	"A. halleri"	"M"	"Klet_002_h16"
"Klet"	"A. halleri"	"M"	"Klet_006_h23"
"Klet"	"A. halleri"	"M"	"Klet_006_h25"
"Klet"	"A. halleri"	"M"	"Klet_006_h27"
"Klet"	"A. halleri"	"M"	"Klet_006_h29"
"Klet"	"A. halleri"	"M"	"Klet_006_h30"
"Klet"	"A. halleri"	"M"	"Klet_007_h31"
"Kowa"	"A. halleri"	"NM"	"Kowa_002_h13"
"Kowa"	"A. halleri"	"NM"	"Kowa_002_h14"
"Kowa"	"A. halleri"	"NM"	"Kowa_002_h17"
"Kowa"	"A. halleri"	"NM"	"Kowa_002_h18"
"Kowa"	"A. halleri"	"NM"	"Kowa_002_h21"
"Mias"	"A. halleri"	"M"	"Mias_002_h20"
"Mias"	"A. halleri"	"M"	"Mias_004_h02"
"Mias"	"A. halleri"	"M"	"Mias_004_h06"
"Mias"	"A. halleri"	"M"	"Mias_004_h07"
"Mias"	"A. halleri"	"M"	"Mias_004_h08"
"Zako"	"A. halleri"	"NM"	"Zako_002_h01"
"Zako"	"A. halleri"	"NM"	"Zako_002_h02"
"Zako"	"A. halleri"	"NM"	"Zako_002_h03"
"Zako"	"A. halleri"	"NM"	"Zako_002_h04"
"Zako"	"A. halleri"	"NM"	"Zako_002_h06"
"Zako"	"A. halleri"	"NM"	"Zako_002_h07"
"Zako"	"A. halleri"	"NM"	"Zako_002_h08"
