AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	isolation_source	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Platform	ReleaseDate	SRA_Study	age	ecotype	geo_loc_name	tissue
198	SAMN10473537	SRX5058510	T13-9-4	4919	3231	Arabidopsis thaliana	SRR8240169	SRS4074659	T13-9-4	T13-9-4	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473536	SRX5058509	T13-9-3	4499	2957	Arabidopsis thaliana	SRR8240170	SRS4074658	T13-9-3	T13-9-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
197	SAMN10473525	SRX5058508	SCF-14-4	4658	3143	Arabidopsis thaliana	SRR8240171	SRS4074657	SCF-14-4	SCF-14-4	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473524	SRX5058507	SCF-14-3	4642	3080	Arabidopsis thaliana	SRR8240172	SRS4074656	SCF-14-3	SCF-14-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473505	SRX5058506	LM2-17-5	4902	3274	Arabidopsis thaliana	SRR8240173	SRS4074655	LM2-17-5	LM2-17-5	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473504	SRX5058505	LM2-17-3	4679	3094	Arabidopsis thaliana	SRR8240174	SRS4074654	LM2-17-3	LM2-17-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473543	SRX5058504	T6-1-2	4487	2986	Arabidopsis thaliana	SRR8240175	SRS4074653	T6-1-2	T6-1-2	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
197	SAMN10473542	SRX5058503	T6-1-1	3892	2599	Arabidopsis thaliana	SRR8240176	SRS4074652	T6-1-1	T6-1-1	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
198	SAMN10473501	SRX5058502	LLO2-2-4	4554	3020	Arabidopsis thaliana	SRR8240177	SRS4074651	LLO2-2-4	LLO2-2-4	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
197	SAMN10473500	SRX5058501	LLO2-2-3	4391	2930	Arabidopsis thaliana	SRR8240178	SRS4074650	LLO2-2-3	LLO2-2-3	WGS	PRJNA506760	Plant	UNIVERSITY OF NOTTINGHAM	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-11-24	ILLUMINA	2018-11-25	SRP170569	not collected	not collected	Spain:Catalonia	leaf
