study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	instrument_model	library_layout	sample_alias
PRJNA293798	SAMN04009811	SRS1044399	SRX1163556	SRR2183387	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	1-8
PRJNA293798	SAMN04009812	SRS1044403	SRX1163561	SRR2189709	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	1-32
PRJNA293798	SAMN04009813	SRS1044405	SRX1163563	SRR2189710	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	2-5
PRJNA293798	SAMN04009815	SRS1044406	SRX1163565	SRR2189711	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	3-4
PRJNA293798	SAMN04009814	SRS1044407	SRX1163564	SRR2189712	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	3-2
PRJNA293798	SAMN04009816	SRS1044408	SRX1163566	SRR2189713	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	6-28
PRJNA293798	SAMN04009817	SRS1044409	SRX1163567	SRR2189714	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	7-2
PRJNA293798	SAMN04009818	SRS1044410	SRX1163568	SRR2189716	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	8-6
PRJNA293798	SAMN04009819	SRS1044413	SRX1163571	SRR2189717	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	8-17
PRJNA293798	SAMN04009820	SRS1044415	SRX1163572	SRR2189718	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	9-5
PRJNA293798	SAMN04009822	SRS1044417	SRX1163574	SRR2189719	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	10-1
PRJNA293798	SAMN04009823	SRS1044418	SRX1163576	SRR2189720	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	10-3
PRJNA293798	SAMN04009826	SRS1044419	SRX1163577	SRR2204160	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	10-5
PRJNA293798	SAMN04009825	SRS1044420	SRX1163578	SRR2204161	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	11-4
PRJNA293798	SAMN04009827	SRS1044421	SRX1163579	SRR2204162	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	12-8
PRJNA293798	SAMN04009828	SRS1044422	SRX1163580	SRR2204163	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	13-13
PRJNA293798	SAMN04009830	SRS1044424	SRX1163582	SRR2204164	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	14-10
PRJNA293798	SAMN04009831	SRS1044425	SRX1163583	SRR2204165	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	14-62
PRJNA293798	SAMN04009832	SRS1044426	SRX1163584	SRR2204166	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	15-11
PRJNA293798	SAMN04009833	SRS1044427	SRX1163587	SRR2204167	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	17-5
PRJNA293798	SAMN04009834	SRS1044430	SRX1163590	SRR2204168	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	18-4
PRJNA293798	SAMN04009835	SRS1044431	SRX1163591	SRR2204169	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	18-7
PRJNA293798	SAMN04009836	SRS1044432	SRX1163592	SRR2204170	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	19-33
PRJNA293798	SAMN04009837	SRS1044433	SRX1163593	SRR2204171	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	20-2
PRJNA293798	SAMN04009840	SRS1044434	SRX1163594	SRR2204172	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	20-36
PRJNA293798	SAMN04009841	SRS1044435	SRX1163595	SRR2204173	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	23-34
PRJNA293798	SAMN04009842	SRS1044436	SRX1163596	SRR2204174	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	24-10
PRJNA293798	SAMN04009843	SRS1044437	SRX1163597	SRR2204175	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	25-16
PRJNA293798	SAMN04009845	SRS1044438	SRX1163598	SRR2204176	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	26-5
PRJNA293798	SAMN04009846	SRS1044439	SRX1163599	SRR2204177	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	27-8
PRJNA293798	SAMN04009849	SRS1044440	SRX1163600	SRR2204178	Arabidopsis thaliana	Illumina HiSeq 2000	PAIRED	27-9
