Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Extract_protocol,growth_protocol,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Molecule,Organism,Platform,ReleaseDate,Sample Name,SRA Study,title
SRR5421617,OTHER,300,8871038100,SAMN06691196,4236371504,LIPM-INRA-CNRS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2713288,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_CRAN-A_1491483767_sra_1,SRP103198,Climares_Ath_CRAN-A
SRR5421618,OTHER,300,8734758000,SAMN06691197,4028013213,LIPM-INRA-CNRS,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX2713287,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_BARC-A_1491483766_sra_1,SRP103198,Climares_Ath_BARC-A
SRR5421619,OTHER,300,8250082500,SAMN06691198,3864514285,LIPM-INRA-CNRS,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX2713286,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_BARA-B_1491483766_sra_1,SRP103198,Climares_Ath_BARA-B
SRR5421620,OTHER,300,8537152200,SAMN06691199,3892965552,LIPM-INRA-CNRS,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2713285,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_MART-A_1491483766_sra_1,SRP103198,Climares_Ath_MART-A
SRR5421621,OTHER,300,9933882000,SAMN06691200,4453799917,LIPM-INRA-CNRS,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX2713284,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_LOUB-A_1491483766_sra_1,SRP103198,Climares_Ath_LOUB-A
SRR5421622,OTHER,300,5162243400,SAMN06691201,2374365997,LIPM-INRA-CNRS,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX2713283,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_AXLE-A_1491483766_sra_1,SRP103198,Climares_Ath_AXLE-A
SRR5421623,OTHER,300,8755316100,SAMN06691202,4175381357,LIPM-INRA-CNRS,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX2713282,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_LACR-A_1491483766_sra_1,SRP103198,Climares_Ath_LACR-A
SRR5421624,OTHER,300,8675525700,SAMN06691203,4091202640,LIPM-INRA-CNRS,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX2713281,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_JUZET-B_1491483767_sra_1,SRP103198,Climares_Ath_JUZET-B
SRR5421625,OTHER,300,7176716400,SAMN06691204,3367960198,LIPM-INRA-CNRS,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX2713280,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_CLAR-C_1491483767_sra_1,SRP103198,Climares_Ath_CLAR-C
SRR5421626,OTHER,300,7443182100,SAMN06691205,3431534080,LIPM-INRA-CNRS,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2713279,"DNA was extracted by using a home-made protocol that use filter PALL plates. Briefly: 1- 400ul of DNA extraction buffer (Tris 1M ph 8.0 + EDTA 0.5M NaCL 2.5M, SDS 20%, PVP 40.000+ Sodium Bisulfite) was added in each sample and plates were incubated 20 ...",Plants were sampled directly from the field and moved on a greenhouse where they were maintained for almost 2 months prior DNA extraction. Plants were sampled with their own soil and placed in plastic plateau. Conditions in the greenhouse were not cont...,Illumina HiSeq 3000,,PAIRED,other,GENOMIC,genomic_DNA,Arabidopsis thaliana,ILLUMINA,2018-04-05T00:00:00Z,SAMPLE_Climares_Ath_NAZA-A_1491483760_sra_1,SRP103198,Climares_Ath_NAZA-A
