Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Tissue
SRR3473136,not applicable',WGS,200,2561564800,PRJNA288374,SAMN04934469,Plant,1778390182,MICHIGAN STATE U. DEPT. OF PLANT BIOLOGY,public,NC1:3:1,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",adult,SRX1740430,USA,North America,USA,Illumina HiSeq 2000,sample_1.167_gt,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-15T00:00:00Z,NC1:3:1,SRP074304,leaf
SRR3473137,not applicable',WGS,200,2529304200,PRJNA288374,SAMN04934465,Plant,1763733801,MICHIGAN STATE U. DEPT. OF PLANT BIOLOGY,public,HVSQ-17,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",adult,SRX1740431,USA,North America,USA,Illumina HiSeq 2000,sample_1.74_gt,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-08T00:00:00Z,HVSQ-17,SRP074304,leaf
SRR3473138,not applicable',WGS,200,2472506800,PRJNA288374,SAMN04934488,Plant,1723719619,MICHIGAN STATE U. DEPT. OF PLANT BIOLOGY,public,WAR,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",adult,SRX1740432,USA,North America,USA,Illumina HiSeq 2000,sample_18.89_gt,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-08T00:00:00Z,WAR,SRP074304,leaf
SRR3473139,not applicable',WGS,200,2331106200,PRJNA288374,SAMN04934466,Plant,1621943325,MICHIGAN STATE U. DEPT. OF PLANT BIOLOGY,public,HVSQ-10,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",adult,SRX1740433,USA,North America,USA,Illumina HiSeq 2000,sample_19.69_gt,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-08T00:00:00Z,HVSQ-10,SRP074304,leaf
SRR3473140,not applicable',WGS,200,2194868400,PRJNA288374,SAMN04934462,Plant,1522809866,MICHIGAN STATE U. DEPT. OF PLANT BIOLOGY,public,Knox-1,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,SRX1740434,USA,North America,USA,Illumina HiSeq 2000,sample_2.80_gt,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-08T00:00:00Z,Knox-1,SRP074304,leaf
SRR3473141,not applicable',WGS,200,2090891400,PRJNA288374,SAMN04934483,Plant,1460867639,MICHIGAN STATE U. DEPT. OF PLANT BIOLOGY,public,LIN,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",adult,SRX1740435,USA,North America,USA,Illumina HiSeq 2000,sample_2.88_gt,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-08T00:00:00Z,LIN,SRP074304,leaf
SRR3473142,not applicable',WGS,200,2488085000,PRJNA288374,SAMN04934476,Plant,1734944712,MICHIGAN STATE U. DEPT. OF PLANT BIOLOGY,public,Tol-3,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",adult,SRX1740436,USA,North America,USA,Illumina HiSeq 2000,sample_20.61_gt,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-08T00:00:00Z,Tol-3,SRP074304,leaf
SRR3473144,not applicable',WGS,200,2498286400,PRJNA288374,SAMN04934467,Plant,1740034103,MICHIGAN STATE U. DEPT. OF PLANT BIOLOGY,public,FOR3,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",adult,SRX1740438,USA,North America,USA,Illumina HiSeq 2000,sample_23.404,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-08T00:00:00Z,FOR3,SRP074304,leaf
SRR3473145,not applicable',WGS,200,2204168200,PRJNA288374,SAMN04934482,Plant,1539445262,MICHIGAN STATE U. DEPT. OF PLANT BIOLOGY,public,PA-DT1:15,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",adult,SRX1740439,USA,North America,USA,Illumina HiSeq 2000,sample_25.191_gt,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-15T00:00:00Z,PA-DT1:15,SRP074304,leaf
SRR3473146,not applicable',WGS,200,2309179400,PRJNA288374,SAMN04934474,Plant,1601088282,MICHIGAN STATE U. DEPT. OF PLANT BIOLOGY,public,RP15,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1740440,USA,North America,USA,Illumina HiSeq 2000,sample_27.31_gt,PAIRED,RANDOM,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-05-08T00:00:00Z,RP15,SRP074304,leaf
