Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,tissue,sub_species
SRR7904933,missing,WGS,202,4567795902,PRJNA493227,SAMN10132515,Plant,3737911860,ETH ZURICH,"A. Guggisberg\, G. Muir\, R. Schmickl",2012-04-18,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",missing,SRX4741319,Austria,Europe,"Austria: Lower Austria; Baden\, W of Bad Voeslau\, rock outcrops around Voslauerhutte",Illumina HiSeq 2000,74E,calcareous,47.97 N 16.16 E,74E,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2018-10-01T00:00:00Z,74E,SRP162655,leaf material,petraea
SRR7904935,missing,WGS,202,3525621544,PRJNA493227,SAMN10132517,Plant,2856984722,ETH ZURICH,"A. Guggisberg\, G. Muir\, R. Schmickl",2012-04-22,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",missing,SRX4741317,Czech Republic,Europe,"Czech Republic: Central Bohemian; Beroun\, mixed oak forest along forest road E of main road leading from Nouzov to Chynava\, NW of Male Kysice",Illumina HiSeq 2000,174E,siliceous,50.06 N 14.07 E,174E,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2018-10-01T00:00:00Z,174E,SRP162655,leaf material,petraea
SRR7904936,missing,WGS,202,35984681980,PRJNA493227,SAMN10132510,Plant,23810489509,ETH ZURICH,"A. Guggisberg\, G. Mansion\, Z. Kyselova",2012-06-29,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",missing,SRX4741316,Slovakia,Europe,"Slovakia: Presovsky kraj; Vysoke Tatry\, Velicka dolina\, along rivulet flowing out of Dhle pleso\, along green-marked trail leading to Pol'sky hreben",Illumina HiSeq 2000,DHL,siliceous,49.16 N 20.14 E,DHL,PAIRED,RANDOM,GENOMIC,Arabidopsis neglecta subsp. neglecta,ILLUMINA,2018-10-01T00:00:00Z,DHL,SRP162655,leaf material,neglecta
SRR7904937,missing,WGS,202,27577829416,PRJNA493227,SAMN10132511,Plant,18648940093,ETH ZURICH,"A. Guggisberg\, G. Mansion\, Z. Kyselova",2012-06-30,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",missing,SRX4741315,Slovakia,Europe,"Slovakia: Presovsky kraj; Vysoke Tatry\, Hlinska dolina\, along Hlinsky potok\, along blue-marked trail leading to Vysne Koprovske sedlo",Illumina HiSeq 2000,HLI,siliceous,49.17 N 20.03 E,HLI,PAIRED,RANDOM,GENOMIC,Arabidopsis neglecta subsp. neglecta,ILLUMINA,2018-10-01T00:00:00Z,HLI,SRP162655,leaf material,neglecta
SRR7904939,missing,WGS,202,29417332316,PRJNA493227,SAMN10132513,Plant,19543777566,ETH ZURICH,"F. Kolar\, E. Zaveska\, S. Spaniel\, M. Kolnik\, K. Marhold",2012-08-01,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",missing,SRX4741313,Slovakia,Europe,"Slovakia: Presovsky kraj; Vysoke Tatry\, Zelene Pleso\, screes and rocks above the lake",Illumina HiSeq 2000,ZEL,siliceous,49.21 N 20.22 E,ZEL,PAIRED,RANDOM,GENOMIC,Arabidopsis neglecta subsp. neglecta,ILLUMINA,2018-10-01T00:00:00Z,ZEL,SRP162655,leaf material,neglecta
SRR7904941,missing,WGS,202,4325925344,PRJNA493227,SAMN10132519,Plant,3522255940,ETH ZURICH,"A. Guggisberg\, G. Muir\, R. Schmickl",2012-04-21,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",missing,SRX4741311,Czech Republic,Europe,"Czech Republic: South Moravian; Brno-venkov\, beech-robinia coppice along the Oslava river\, N of Nova Ves\, SW of Oslavany",Illumina HiSeq 2000,172H,siliceous,49.11 N 16.3 E,172H,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2018-10-01T00:00:00Z,172H,SRP162655,leaf material,petraea
SRR7904943,missing,WGS,202,32236437044,PRJNA493227,SAMN10132501,Plant,20200010128,ETH ZURICH,"A. Guggisberg\, G. Muir\, R. Schmickl",2012-04-18,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",missing,SRX4741309,Austria,Europe,"Austria: Lower Austria; Wiener Neustadt-Land\, rock boulders along road leading from Pernitz to Pottenstein",Illumina HiSeq 2000,PER,calcareous,47.91 N 15.97 E,PER,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2018-10-01T00:00:00Z,PER,SRP162655,leaf material,petraea
SRR7904945,missing,WGS,202,28889762452,PRJNA493227,SAMN10132503,Plant,18120349446,ETH ZURICH,"A. Guggisberg\, G. Muir\, R. Schmickl",2012-04-23,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",missing,SRX4741307,Germany,Europe,"Germany: Bavaria; Upper Franconia\, Bayreuth\, around Teufelshoehle\, S of Pottenstein",Illumina HiSeq 2000,POT,calcareous,49.75 N 11.42 E,POT,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2018-10-01T00:00:00Z,POT,SRP162655,leaf material,petraea
SRR7904947,missing,WGS,202,27444590014,PRJNA493227,SAMN10132505,Plant,17013376952,ETH ZURICH,"A. Guggisberg\, G. Muir\, R. Schmickl",2012-04-21,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",missing,SRX4741305,Czech Republic,Europe,"Czech Republic: South Moravian; Brno-venkov\, beech-robinia coppice along the Oslava river\, N of Nova Ves\, SW of Oslavany",Illumina HiSeq 2000,OSL,siliceous,49.11 N 16.3 E,OSL,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2018-10-01T00:00:00Z,OSL,SRP162655,leaf material,petraea
SRR7904950,missing,WGS,202,67588336248,PRJNA493227,SAMN10132508,Plant,45215148592,ETH ZURICH,"A. Guggisberg\, G. Mansion",2012-06-26,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",missing,SRX4741302,Slovakia,Europe,"Slovakia: Banskobystricky kraj; Vel'ka Fatra\, Horehronie\, between Maly sturec and Harmanec\, NW of Horny Harmanec",Illumina HiSeq 2000,HAR,calcareous,48.82 N 19.02 E,HAR,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,2018-10-01T00:00:00Z,HAR,SRP162655,leaf material,
SRR7904952,missing,WGS,202,4779993266,PRJNA493227,SAMN10132521,Plant,3896896522,ETH ZURICH,"A. Guggisberg\, G. Muir\, R. Schmickl",2012-04-18,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",missing,SRX4741300,Austria,Europe,"Austria: Lower Austria; Wiener Neustadt-Land\, rock boulders along road leading from Pernitz to Pottenstein",Illumina HiSeq 2000,88G,calcareous,47.91 N 15.97 E,88G,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2018-10-01T00:00:00Z,88G,SRP162655,leaf material,petraea
