study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	study_alias	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJEB35573	ERP118645	SAMEA6249028	ERS4048693	ERX3676074	ERR3686470	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Noss 05 shoot 0 �M CdSO4 R1	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/000/ERR3686470/ERR3686470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/000/ERR3686470/ERR3686470_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686470/P1.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686470/P1.R2.fq.gz		P1	A.halleri Noss 05 shoot control
PRJEB35573	ERP118645	SAMEA6249029	ERS4048694	ERX3676075	ERR3686471	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Noss 10 shoot 0 �M CdSO4 R1	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/001/ERR3686471/ERR3686471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/001/ERR3686471/ERR3686471_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686471/P2.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686471/P2.R2.fq.gz		P2	A.halleri Noss 10 shoot control
PRJEB35573	ERP118645	SAMEA6249030	ERS4048695	ERX3676076	ERR3686472	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Pais 05 shoot 0 �M CdSO4 R1	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/002/ERR3686472/ERR3686472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/002/ERR3686472/ERR3686472_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686472/P3.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686472/P3.R2.fq.gz		P3	A.halleri Pais 05 shoot control
PRJEB35573	ERP118645	SAMEA6249031	ERS4048696	ERX3676077	ERR3686473	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Pais 09 shoot 0 �M CdSO4 R1	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/003/ERR3686473/ERR3686473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/003/ERR3686473/ERR3686473_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686473/P4.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686473/P4.R2.fq.gz		P4	A.halleri Pais 09 shoot control
PRJEB35573	ERP118645	SAMEA6249032	ERS4048697	ERX3676078	ERR3686474	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Wall 07 shoot 0 �M CdSO4 R1	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/004/ERR3686474/ERR3686474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/004/ERR3686474/ERR3686474_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686474/P5.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686474/P5.R2.fq.gz		P5	A.halleri Wall 07 shoot control
PRJEB35573	ERP118645	SAMEA6249033	ERS4048698	ERX3676079	ERR3686475	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Wall 10 shoot 0 �M CdSO4 R1	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/005/ERR3686475/ERR3686475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/005/ERR3686475/ERR3686475_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686475/P6.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686475/P6.R2.fq.gz		P6	A.halleri Wall 10 shoot control
PRJEB35573	ERP118645	SAMEA6249034	ERS4048699	ERX3676080	ERR3686476	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Noss 05 shoot 2 �M CdSO4 R1	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/006/ERR3686476/ERR3686476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/006/ERR3686476/ERR3686476_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686476/P7.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686476/P7.R2.fq.gz		P7	A.halleri Noss 05 shoot Cd treatment
PRJEB35573	ERP118645	SAMEA6249035	ERS4048700	ERX3676081	ERR3686477	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Noss 10 shoot 2 �M CdSO4 R1	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/007/ERR3686477/ERR3686477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/007/ERR3686477/ERR3686477_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686477/P8.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686477/P8.R2.fq.gz		P8	A.halleri Noss 10 shoot Cd treatment
PRJEB35573	ERP118645	SAMEA6249036	ERS4048701	ERX3676082	ERR3686478	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Pais 05 shoot 2 �M CdSO4 R1	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/008/ERR3686478/ERR3686478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/008/ERR3686478/ERR3686478_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686478/P9.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686478/P9.R2.fq.gz		P9	A.halleri Pais 05 shoot Cd treatment
PRJEB35573	ERP118645	SAMEA6249037	ERS4048702	ERX3676083	ERR3686479	ERA2300626	81971	Arabidopsis halleri subsp. halleri	ILLUMINA	Illumina NovaSeq 6000	A.halleri Pais 09 shoot 2 �M CdSO4 R1	PAIRED	RNA-Seq	TRANSCRIPTOMIC	ena-STUDY-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:58:606-829	ena-RUN-RUHR-UNIVERSITY BOCHUM-27-11-2019-13:11:19:606-10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/009/ERR3686479/ERR3686479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR368/009/ERR3686479/ERR3686479_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686479/P10.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR368/ERR3686479/P10.R2.fq.gz		P10	A.halleri Pais 09 shoot Cd treatment
