Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,sub_species,Tissue
SRR5124974,not collected,WGS,202,11865429500,PRJNA357372,SAMN06159139,Plant,8249901765,UNIVERSITY OF OULU,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",not collected,SRX2439786,Russia,Europe,Russia: Karhumaki,Illumina HiSeq 2000,C158_P2,Alyr_KAR_C158_P2,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-03-24T00:00:00Z,Alyr_KAR_C158_P2,SRP095509,petraea,leaf
SRR5124975,not collected,WGS,202,9984546092,PRJNA357372,SAMN06141187,Plant,7168897646,UNIVERSITY OF OULU,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not collected,SRX2439787,Germany,Europe,Germany: Plech,Illumina HiSeq 2000,PL-S2-1-3,Alyr_PL_PL-S2-1-3,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_PL_PL-S2-1-3,SRP095509,petraea,leaf
SRR5124976,not collected,WGS,202,10161363156,PRJNA357372,SAMN06141186,Plant,7080904659,UNIVERSITY OF OULU,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not collected,SRX2439788,United Kingdom,Europe,United Kingdom: Storr,Illumina HiSeq 2000,STORR2a-1,Alyr_STORR_STORR2a-1,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_STORR_STORR2a-1,SRP095509,petraea,leaf
SRR5124977,not collected,WGS,202,14087598776,PRJNA357372,SAMN06141178,Plant,9404343872,UNIVERSITY OF OULU,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",not collected,SRX2439789,Norway,Europe,Norway: Spiterstulen,Illumina HiSeq 2000,SpNor33-16,Alyr_SP_SpNor33-16,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_SP_SpNor33-16,SRP095509,petraea,leaf
SRR5124978,not collected,WGS,202,11134459776,PRJNA357372,SAMN06141181,Plant,7540912292,UNIVERSITY OF OULU,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",not collected,SRX2439790,Sweden,Europe,Sweden: Stubbsand,Illumina HiSeq 2000,C138_P1,Alyr_STU_C138_P1,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_STU_C138_P1,SRP095509,petraea,leaf
SRR5124979,not collected,WGS,202,9139555246,PRJNA357372,SAMN06141197,Plant,5964172022,UNIVERSITY OF OULU,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",not collected,SRX2439791,USA,North America,USA: Mayodan,Illumina HiSeq 2000,MA629-1g,Alyr_MA_MA629-1g,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2017-03-24T00:00:00Z,Alyr_MA_MA629-1g,SRP095509,lyrata,leaf
SRR5124980,not collected,WGS,202,10230376456,PRJNA357372,SAMN06159138,Plant,7227734706,UNIVERSITY OF OULU,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",not collected,SRX2439792,Russia,Europe,Russia: Karhumaki,Illumina HiSeq 2000,C155_P2,Alyr_KAR_C155_P2,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-03-24T00:00:00Z,Alyr_KAR_C155_P2,SRP095509,petraea,leaf
SRR5124981,not collected,WGS,202,8005046082,PRJNA357372,SAMN06141194,Plant,5238163876,UNIVERSITY OF OULU,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",not collected,SRX2439793,USA,North America,USA: Mayodan,Illumina HiSeq 2000,MA611-1g,Alyr_MA_MA611-1g,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2017-03-24T00:00:00Z,Alyr_MA_MA611-1g,SRP095509,lyrata,leaf
SRR5124982,not collected,WGS,202,6617462026,PRJNA357372,SAMN06141182,Plant,4696794999,UNIVERSITY OF OULU,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",not collected,SRX2439794,Sweden,Europe,Sweden: Stubbsand,Illumina HiSeq 2000,C98_P2,Alyr_STU_C98_P2,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_STU_C98_P2,SRP095509,petraea,leaf
SRR5124983,not collected,WGS,202,7220536460,PRJNA357372,SAMN06141175,Plant,4786274773,UNIVERSITY OF OULU,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",not collected,SRX2439795,Norway,Europe,Norway: Spiterstulen,Illumina HiSeq 2000,SP21,Alyr_SP_SP21,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_SP_SP21,SRP095509,petraea,leaf
SRR5124984,not collected,WGS,202,10274061178,PRJNA357372,SAMN06141188,Plant,7370102594,UNIVERSITY OF OULU,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not collected,SRX2439796,Germany,Europe,Germany: Plech,Illumina HiSeq 2000,PL-S4-2-1,Alyr_PL_PL-S4-2-1,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_PL_PL-S4-2-1,SRP095509,petraea,leaf
SRR5124985,not collected,WGS,202,3757028502,PRJNA357372,SAMN06141176,Plant,2391646378,UNIVERSITY OF OULU,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",not collected,SRX2439797,Norway,Europe,Norway: Spiterstulen,Illumina HiSeq 2000,Sp3-5g,Alyr_SP_Sp3-5g,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_SP_Sp3-5g,SRP095509,petraea,leaf
SRR5124986,not collected,WGS,202,11025017994,PRJNA357372,SAMN06141190,Plant,7915017407,UNIVERSITY OF OULU,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",not collected,SRX2439798,Germany,Europe,Germany: Plech,Illumina HiSeq 2000,PL-S6-1-2,Alyr_PL_PL-S6-1-2,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_PL_PL-S6-1-2,SRP095509,petraea,leaf
SRR5124987,not collected,WGS,202,11515028382,PRJNA357372,SAMN06141180,Plant,8083426790,UNIVERSITY OF OULU,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",not collected,SRX2439799,Sweden,Europe,Sweden: Stubbsand,Illumina HiSeq 2000,C137_R2,Alyr_STU_C137_R2,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-06-29T00:00:00Z,Alyr_STU_C137_R2,SRP095509,petraea,leaf
