Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,tissue,fasta_file (run)
SRR7119523,WGS,assembly,199,5792054280,PRJNA459481,SAMN09069407,Plant,1221149508,UNIVERSITY OF OULU,public,"sra,bam","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Adult,T1,SRX4041197,Norway,Europe,Norway: Sunndalsora,Illumina HiSeq 2500,T1-18,T1-18,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata,ILLUMINA,2018-05-04T00:00:00Z,T1-18,SRP144592,Leaf,
SRR7119524,WGS,assembly,199,7404657059,PRJNA459481,SAMN09069408,Plant,1512264168,UNIVERSITY OF OULU,public,"sra,bam","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Adult,T1,SRX4041196,Norway,Europe,Norway: Sunndalsora,Illumina HiSeq 2500,T1-19,T1-19,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata,ILLUMINA,2018-05-04T00:00:00Z,T1-19,SRP144592,Leaf,
SRR7119525,WGS,assembly,199,8102665270,PRJNA459481,SAMN09069409,Plant,1620881294,UNIVERSITY OF OULU,public,"bam,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Adult,T1,SRX4041195,Norway,Europe,Norway: Sunndalsora,Illumina HiSeq 2500,T1-25,T1-25,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata,ILLUMINA,2018-05-04T00:00:00Z,T1-25,SRP144592,Leaf,
SRR7119526,WGS,assembly,199,6662131762,PRJNA459481,SAMN09069410,Plant,1388183640,UNIVERSITY OF OULU,public,"sra,bam","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Adult,T1,SRX4041194,Norway,Europe,Norway: Sunndalsora,Illumina HiSeq 2500,T1-4,T1-4,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata,ILLUMINA,2018-05-04T00:00:00Z,T1-4,SRP144592,Leaf,
SRR7119527,WGS,assembly,288,21133592092,PRJNA459481,SAMN09069411,Plant,6485692465,UNIVERSITY OF OULU,public,"sra,bam","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Adult,T3,SRX4041193,Norway,Europe,Norway: Grovudalen,Illumina HiSeq 2500,T3-1,T3-1,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata,ILLUMINA,2018-05-04T00:00:00Z,T3-1,SRP144592,Leaf,
SRR7119528,WGS,assembly,249,3794876061,PRJNA459481,SAMN09069412,Plant,1685444718,UNIVERSITY OF OULU,public,"bam,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Adult,T3,SRX4041192,Norway,Europe,Norway: Grovudalen,Illumina HiSeq 2500,T3-2,T3-2,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata,ILLUMINA,2018-05-04T00:00:00Z,T3-2,SRP144592,Leaf,
SRR7119529,WGS,assembly,252,3867746799,PRJNA459481,SAMN09069413,Plant,1724147136,UNIVERSITY OF OULU,public,"bam,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",Adult,T3,SRX4041191,Norway,Europe,Norway: Grovudalen,Illumina HiSeq 2500,T3-3,T3-3,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata,ILLUMINA,2018-05-04T00:00:00Z,T3-3,SRP144592,Leaf,
SRR7119530,WGS,assembly,251,4785211188,PRJNA459481,SAMN09069414,Plant,2106703599,UNIVERSITY OF OULU,public,"sra,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Adult,T3,SRX4041190,Norway,Europe,Norway: Grovudalen,Illumina HiSeq 2500,T3-5,T3-5,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata,ILLUMINA,2018-05-04T00:00:00Z,T3-5,SRP144592,Leaf,
SRR7119531,WGS,assembly,253,5638114349,PRJNA459481,SAMN09069415,Plant,2450126371,UNIVERSITY OF OULU,public,"sra,bam","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",Adult,T3,SRX4041189,Norway,Europe,Norway: Grovudalen,Illumina HiSeq 2500,T3-6,T3-6,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata,ILLUMINA,2018-05-04T00:00:00Z,T3-6,SRP144592,Leaf,
SRR7119532,WGS,assembly,199,5681404174,PRJNA459481,SAMN09069416,Plant,1164037756,UNIVERSITY OF OULU,public,"sra,bam","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Adult,J3,SRX4041188,Norway,Europe,Norway: Spiterstulen,Illumina HiSeq 2500,J3-1,J3-1,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata,ILLUMINA,2018-05-04T00:00:00Z,J3-1,SRP144592,Leaf,
