Population,country,locality,latitude,longitude,elevation,collection_notes,collector
,Russia,Karhumaki,62°55′N,34°25′E,,location from Pyhajarvi et al.,Savolainen et al.
GER,Germany,Plech,N49°39',E11°29',400,location from Hamala & Savolainen,Savolainen et al.
,United Kingdom,Storr,57.506686,-6.183684,,location from locality name,
J3,Norway,Spiterstulen,N61°62',E8°40',1100,location from Pyhajarvi et al.,Savolainen et al.
SWE,Sweden,Stubbsand,N63°12',E18°57',5,location from Hamala & Savolainen,Savolainen et al.
,USA,Mayodan,36°25′N,79°58′W,,location from Pyhajarvi et al.,David Remington
T1,Norway,Sunndalsora,N62°66',E8°62',10,location from Hamala & Savolainen,Savolainen et al.
,Norway,Grovudalen,62.4594,8.9349,,location from locality name,
J1,Norway,Lom,N61°84',E8°57',300,location from Hamala & Savolainen,Savolainen et al.
T4,Norway,Nedre Kamtjern,N62°74',E9°30',1360,location from Hamala & Savolainen,Savolainen et al.
,Iceland,Reykjavik,64°09′N,21°58′W,,location from Pyhajarvi et al.,Mikkel Schierup
,Czech Republic,Bohemia,50°03′N,14°06′E,,location from Pyhajarvi et al.,Mark McNair
,USA,Ithaca,42°22′N,76°21′W,,location from Pyhajarvi et al.,David Remington
