Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,ENA_checklist,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,sub_species,title
ERR2145368,85-d WGS,WGS,202,10264950776,PRJEB20573,SAMEA104326079,6395962724,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","s3,ena,ncbi,gs","ncbi.public,ena,s3.us-east-1,gs.US",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201901,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326079,ERS1951057,ERS1951057,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145369,85-e WGS,WGS,202,10133028616,PRJEB20573,SAMEA104326080,6342288329,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","s3,ncbi,gs,ena","gs.US,s3.us-east-1,ncbi.public,ena",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201902,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326080,ERS1951058,ERS1951058,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145370,55-b WGS,WGS,202,9439103268,PRJEB20573,SAMEA104326081,5910729125,CENTRE FOR ORGANISMAL STUDIES,public,"sra,fastq","s3,gs,ena,ncbi","ncbi.public,s3.us-east-1,gs.US,ena",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201903,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326081,ERS1951059,ERS1951059,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145372,137-e WGS,WGS,202,10184908882,PRJEB20573,SAMEA104326083,6378411694,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","ena,ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US,ena",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201905,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326083,ERS1951061,ERS1951061,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145375,37-h WGS,WGS,202,11958071144,PRJEB20573,SAMEA104326086,7547488260,CENTRE FOR ORGANISMAL STUDIES,public,"sra,fastq","gs,ncbi,s3,ena","gs.US,ena,s3.us-east-1,ncbi.public",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201908,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326086,ERS1951064,ERS1951064,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145378,88-p WGS,WGS,202,4203342250,PRJEB20573,SAMEA104326089,2630760988,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","ncbi,gs,ena,s3","s3.us-east-1,ena,ncbi.public,gs.US",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201911,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:01Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326089,ERS1951067,ERS1951067,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145383,88-u WGS,WGS,202,3754063344,PRJEB20573,SAMEA104326094,2323802703,CENTRE FOR ORGANISMAL STUDIES,public,"sra,fastq","ncbi,gs,ena,s3","ncbi.public,s3.us-east-1,ena,gs.US",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201916,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:02Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326094,ERS1951072,ERS1951072,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145385,74-4 WGS,WGS,202,3941317546,PRJEB20573,SAMEA104326096,2704173070,CENTRE FOR ORGANISMAL STUDIES,public,"sra,fastq","ncbi,gs,ena,s3","ncbi.public,ena,s3.us-east-1,gs.US",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201918,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:02Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326096,ERS1951074,ERS1951074,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145387,74-9 WGS,WGS,202,4948092414,PRJEB20573,SAMEA104326098,3448119920,CENTRE FOR ORGANISMAL STUDIES,public,"sra,fastq","gs,s3,ncbi,ena","s3.us-east-1,ena,ncbi.public,gs.US",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201920,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:02Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326098,ERS1951076,ERS1951076,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
ERR2145390,115-3 WGS,WGS,202,5368704490,PRJEB20573,SAMEA104326101,3624523486,CENTRE FOR ORGANISMAL STUDIES,public,"fastq,sra","s3,ena,ncbi,gs","ena,ncbi.public,s3.us-east-1,gs.US",Arabidopsis lyrata and A. arenosa genomes sequenced to study adaptive introgression,ERC000011,2017-10-08,2018-11-16,ERX2201923,Centre for Organismal Studies,Centre for Organismal Studies,2017-10-08T17:01:59Z,2017-09-29T14:26:02Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Arabidopsis lyrata subsp. petraea,ILLUMINA,2017-10-09T00:00:00Z,SAMEA104326101,ERS1951079,ERS1951079,ERP022739,petraea,Arabidopsis lyrata subsp. petraea
