Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,Submitter_Id,Title,sub_species,common_name
ERR3014181,WGS,292,2777788700,PRJEB30473,SAMEA5190276,1366811088,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016633,SAMEA5190276,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,42.01 N 80.38 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190276,Athal_07_PA_02,ERS2997770,ERP112933,Athal_07_PA_02,Athal_07_PA_02,,thale cress
ERR3014182,WGS,292,3007826592,PRJEB30473,SAMEA5190276,1546857291,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016634,SAMEA5190276,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,42.01 N 80.38 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190276,Athal_07_PA_02,ERS2997770,ERP112933,Athal_07_PA_02,Athal_07_PA_02,,thale cress
ERR3014183,WGS,292,1905413588,PRJEB30473,SAMEA5190277,956284438,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016635,SAMEA5190277,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,40.57 N 75.4 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190277,Alyrl_07_PA2_02,ERS2997771,ERP112933,Alyrl_07_PA2_02,Alyrl_07_PA2_02,lyrata,
ERR3014184,WGS,292,2068191324,PRJEB30473,SAMEA5190277,1055643401,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016636,SAMEA5190277,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,40.57 N 75.4 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190277,Alyrl_07_PA2_02,ERS2997771,ERP112933,Alyrl_07_PA2_02,Alyrl_07_PA2_02,lyrata,
ERR3014185,WGS,292,1275399936,PRJEB30473,SAMEA5190278,629350693,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016637,SAMEA5190278,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,40.57 N 75.4 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190278,Alyrl_07_PA2_29,ERS2997772,ERP112933,Alyrl_07_PA2_29,Alyrl_07_PA2_29,lyrata,
ERR3014186,WGS,292,2332723760,PRJEB30473,SAMEA5190278,1187379065,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016638,SAMEA5190278,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,40.57 N 75.4 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190278,Alyrl_07_PA2_29,ERS2997772,ERP112933,Alyrl_07_PA2_29,Alyrl_07_PA2_29,lyrata,
ERR3014187,WGS,292,1488904204,PRJEB30473,SAMEA5190279,731078245,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016639,SAMEA5190279,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.3 N 73.98 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190279,Alyrl_07_NY1_07,ERS2997773,ERP112933,Alyrl_07_NY1_07,Alyrl_07_NY1_07,lyrata,
ERR3014188,WGS,292,1632880644,PRJEB30473,SAMEA5190279,816532198,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016640,SAMEA5190279,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.3 N 73.98 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190279,Alyrl_07_NY1_07,ERS2997773,ERP112933,Alyrl_07_NY1_07,Alyrl_07_NY1_07,lyrata,
ERR3014189,WGS,292,1902588780,PRJEB30473,SAMEA5190280,979142003,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016641,SAMEA5190280,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.3 N 73.98 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190280,Alyrl_07_NY1_18,ERS2997774,ERP112933,Alyrl_07_NY1_18,Alyrl_07_NY1_18,lyrata,
ERR3014190,WGS,292,2046387684,PRJEB30473,SAMEA5190280,1066132010,"DEPARTMENT OF ENVIRONMENTAL SCIENCES, UNIVERSITY O",public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2021-02-18,2020-12-18,2018-12-19,2018-12-19,ERX3016642,SAMEA5190280,USA,North America,USA,"Department of Environmental Sciences\, University of Basel","Department of Environmental Sciences\, University of Basel",2020-12-18T04:05:01Z,2018-12-19T10:53:57Z,public,Illumina HiSeq 2500,41.3 N 73.98 W,unspecified,PAIRED,RANDOM PCR,GENOMIC,Arabidopsis lyrata subsp. lyrata,ILLUMINA,2021-03-14T00:00:00Z,SAMEA5190280,Alyrl_07_NY1_18,ERS2997774,ERP112933,Alyrl_07_NY1_18,Alyrl_07_NY1_18,lyrata,
