study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	library_source	experiment_title	study_alias	run_alias	fastq_ftp	submitted_ftp	sample_alias	sample_title
PRJNA484107	SAMN09759891	SRS3621894	SRX4501107	SRR7637273	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	SPI_031_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; SPI_031_1	PRJNA484107	SPI_031_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637273/SRR7637273.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637273/SRR7637273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637273/SRR7637273_2.fastq.gz		SPI_031_1	SPI_031_1
PRJNA484107	SAMN09759890	SRS3621892	SRX4501106	SRR7637274	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	SPI_030_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; SPI_030_1	PRJNA484107	SPI_030_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637274/SRR7637274.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637274/SRR7637274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637274/SRR7637274_2.fastq.gz		SPI_030_1	SPI_030_1
PRJNA484107	SAMN09759889	SRS3621893	SRX4501105	SRR7637275	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	SPI_029_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; SPI_029_1	PRJNA484107	SPI_029_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637275/SRR7637275.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637275/SRR7637275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637275/SRR7637275_2.fastq.gz		SPI_029_1	SPI_029_1
PRJNA484107	SAMN09759888	SRS3621891	SRX4501104	SRR7637276	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	SPI_027_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; SPI_027_1	PRJNA484107	SPI_027_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637276/SRR7637276.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637276/SRR7637276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637276/SRR7637276_2.fastq.gz		SPI_027_1	SPI_027_1
PRJNA484107	SAMN09759895	SRS3621890	SRX4501103	SRR7637277	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	STE_006_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; STE_006_1	PRJNA484107	STE_006_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637277/SRR7637277.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637277/SRR7637277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637277/SRR7637277_2.fastq.gz		STE_006_1	STE_006_1
PRJNA484107	SAMN09759894	SRS3621889	SRX4501102	SRR7637278	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	STE_005_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; STE_005_1	PRJNA484107	STE_005_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637278/SRR7637278.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637278/SRR7637278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637278/SRR7637278_2.fastq.gz		STE_005_1	STE_005_1
PRJNA484107	SAMN09759893	SRS3621888	SRX4501101	SRR7637279	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	STE_002_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; STE_002_1	PRJNA484107	STE_002_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637279/SRR7637279.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637279/SRR7637279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637279/SRR7637279_2.fastq.gz		STE_002_1	STE_002_1
PRJNA484107	SAMN09759892	SRS3621887	SRX4501100	SRR7637280	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	SPI_034_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; SPI_034_1	PRJNA484107	SPI_034_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637280/SRR7637280.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637280/SRR7637280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637280/SRR7637280_2.fastq.gz		SPI_034_1	SPI_034_1
PRJNA484107	SAMN09759897	SRS3621886	SRX4501099	SRR7637281	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	STE_010_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; STE_010_1	PRJNA484107	STE_010_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637281/SRR7637281.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637281/SRR7637281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637281/SRR7637281_2.fastq.gz		STE_010_1	STE_010_1
PRJNA484107	SAMN09759896	SRS3621884	SRX4501098	SRR7637282	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	STE_008_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; STE_008_1	PRJNA484107	STE_008_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637282/SRR7637282.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637282/SRR7637282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637282/SRR7637282_2.fastq.gz		STE_008_1	STE_008_1
