bio_material	accession	center_name	collected_by	collection_date	collection_date_submitted	cultivar	ecotype	elevation	experiment_accession	experiment_alias	instrument_model	instrument_platform	lat	lon	location	library_strategy	library_source	library_selection	library_name	library_layout	nominal_length	project_name	run_accession	run_alias	sample_accession	sample_alias	sample_description	sample_title	sampling_site	scientific_name	study_accession	study_alias	study_title	sub_species	taxonomic_classification	tax_id	secondary_sample_accession	secondary_study_accession
	SAMD00008633	TITECH							DRX012196	DRX012196	Illumina HiSeq 2000	ILLUMINA				WGS	GENOMIC	RANDOM		PAIRED	200		DRR013372	DRR013372	SAMD00008633	SAMD00008633	Arabidopsis lyrata	Arabidopsis lyrata		Arabidopsis lyrata subsp. petraea	PRJDB1393	DRP001138	Genome sequencing of A. lyrata subsp. petraea			59691	DRS012048	DRP001138
	SAMD00008633	TITECH							DRX012197	DRX012197	Illumina HiSeq 2000	ILLUMINA				WGS	GENOMIC	RANDOM		PAIRED	500		DRR013373	DRR013373	SAMD00008633	SAMD00008633	Arabidopsis lyrata	Arabidopsis lyrata		Arabidopsis lyrata subsp. petraea	PRJDB1393	DRP001138	Genome sequencing of A. lyrata subsp. petraea			59691	DRS012048	DRP001138
	SAMD00008633	TITECH							DRX012198	DRX012198	Illumina HiSeq 2000	ILLUMINA				WGS	GENOMIC	RANDOM		PAIRED	800		DRR013374	DRR013374	SAMD00008633	SAMD00008633	Arabidopsis lyrata	Arabidopsis lyrata		Arabidopsis lyrata subsp. petraea	PRJDB1393	DRP001138	Genome sequencing of A. lyrata subsp. petraea			59691	DRS012048	DRP001138
	SAMD00008636	TITECH							DRX012199	DRX012199	Illumina HiSeq 2000	ILLUMINA				WGS	GENOMIC	RANDOM		PAIRED	200		DRR013375	DRR013375	SAMD00008636	SAMD00008636	Arabidopsis halleri	Arabidopsis halleri		Arabidopsis halleri subsp. gemmifera	PRJDB1392	DRP001139	Genome sequencing of A.halleri subsp. gemmifera			63677	DRS012049	DRP001139
	SAMD00008636	TITECH							DRX012199	DRX012199	Illumina HiSeq 2000	ILLUMINA				WGS	GENOMIC	RANDOM		PAIRED	200		DRR013376	DRR013376	SAMD00008636	SAMD00008636	Arabidopsis halleri	Arabidopsis halleri		Arabidopsis halleri subsp. gemmifera	PRJDB1392	DRP001139	Genome sequencing of A.halleri subsp. gemmifera			63677	DRS012049	DRP001139
	SAMD00008636	TITECH							DRX012200	DRX012200	Illumina HiSeq 2000	ILLUMINA				WGS	GENOMIC	RANDOM		PAIRED	500		DRR013377	DRR013377	SAMD00008636	SAMD00008636	Arabidopsis halleri	Arabidopsis halleri		Arabidopsis halleri subsp. gemmifera	PRJDB1392	DRP001139	Genome sequencing of A.halleri subsp. gemmifera			63677	DRS012049	DRP001139
	SAMD00008636	TITECH							DRX012200	DRX012200	Illumina HiSeq 2000	ILLUMINA				WGS	GENOMIC	RANDOM		PAIRED	500		DRR013378	DRR013378	SAMD00008636	SAMD00008636	Arabidopsis halleri	Arabidopsis halleri		Arabidopsis halleri subsp. gemmifera	PRJDB1392	DRP001139	Genome sequencing of A.halleri subsp. gemmifera			63677	DRS012049	DRP001139
	SAMD00008636	TITECH							DRX012201	DRX012201	Illumina HiSeq 2000	ILLUMINA				WGS	GENOMIC	RANDOM		PAIRED	800		DRR013379	DRR013379	SAMD00008636	SAMD00008636	Arabidopsis halleri	Arabidopsis halleri		Arabidopsis halleri subsp. gemmifera	PRJDB1392	DRP001139	Genome sequencing of A.halleri subsp. gemmifera			63677	DRS012049	DRP001139
	SAMD00008636	TITECH							DRX012201	DRX012201	Illumina HiSeq 2000	ILLUMINA				WGS	GENOMIC	RANDOM		PAIRED	800		DRR013380	DRR013380	SAMD00008636	SAMD00008636	Arabidopsis halleri	Arabidopsis halleri		Arabidopsis halleri subsp. gemmifera	PRJDB1392	DRP001139	Genome sequencing of A.halleri subsp. gemmifera			63677	DRS012049	DRP001139
	SAMD00035297	UZH							DRX049283	DRX049283	Illumina HiSeq 2000	ILLUMINA				WGS	GENOMIC	RANDOM	A. kamchatica PAK	PAIRED	200	Genome sequencing of A. kamchatica (PAK)	DRR054434	DRR054434	SAMD00035297	SAMD00035297	A. kamchatica PAK	A. kamchatica PAK		Arabidopsis kamchatica subsp. kamchatica	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	kamchatica		1219863	DRS033935	DRP003263
	SAMD00035298	UZH							DRX049284	DRX049284	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. halleri leaf control	PAIRED	200		DRR054435	DRR054435	SAMD00035298	SAMD00035298	control leaf tissue of A. halleri subsp. gemmifera for RNA-seq	A. halleri L0		Arabidopsis halleri subsp. gemmifera	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	gemmifera		63677	DRS033936	DRP003263
	SAMD00035299	UZH							DRX049285	DRX049285	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. halleri leaf zinc treatment	PAIRED	200		DRR054436	DRR054436	SAMD00035299	SAMD00035299	zinc treated leaf tissue of A. halleri subsp. gemmifera for RNA-seq	A. halleri L48hZ		Arabidopsis halleri subsp. gemmifera	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	gemmifera		63677	DRS033937	DRP003263
	SAMD00035300	UZH							DRX049286	DRX049286	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. halleri root control	PAIRED	200		DRR054437	DRR054437	SAMD00035300	SAMD00035300	control root tissue of A. halleri subsp. gemmifera for RNA-seq	A. halleri R0		Arabidopsis halleri subsp. gemmifera	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	gemmifera		63677	DRS033938	DRP003263
	SAMD00035301	UZH							DRX049287	DRX049287	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. halleri root zinc treatment	PAIRED	200		DRR054438	DRR054438	SAMD00035301	SAMD00035301	zinc treated root tissue of A. halleri subsp. gemmifera for RNA-seq	A. halleri R48hZ		Arabidopsis halleri subsp. gemmifera	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	gemmifera		63677	DRS033939	DRP003263
	SAMD00035302	UZH							DRX049288	DRX049288	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. kamchatica ALK leaf control	PAIRED	200		DRR054439	DRR054439	SAMD00035302	SAMD00035302	control leaf tissue of A. kamchatica subsp. kamchatica for RNA-seq	A. kamchatica ALK L0		Arabidopsis kamchatica subsp. kamchatica	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	kamchatica		1219863	DRS033940	DRP003263
	SAMD00035303	UZH							DRX049289	DRX049289	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. kamchatica ALK leaf zinc treatment	PAIRED	200		DRR054440	DRR054440	SAMD00035303	SAMD00035303	zinc treated leaf tissue of A. kamchatica subsp. kamchatica for RNA-seq	A. kamchatica ALK L48hZ		Arabidopsis kamchatica subsp. kamchatica	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	kamchatica		1219863	DRS033941	DRP003263
	SAMD00035304	UZH							DRX049290	DRX049290	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. kamchatica ALK root control	PAIRED	200		DRR054441	DRR054441	SAMD00035304	SAMD00035304	control root tissue of A. kamchatica subsp. kamchatica for RNA-seq	A. kamchatica ALK R0		Arabidopsis kamchatica subsp. kamchatica	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	kamchatica		1219863	DRS033942	DRP003263
	SAMD00035305	UZH							DRX049291	DRX049291	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. kamchatica ALK root zinc treatment	PAIRED	200		DRR054442	DRR054442	SAMD00035305	SAMD00035305	zinc treated root tissue of A. kamchatica subsp. kamchatica for RNA-seq	A. kamchatica ALK R48hZ		Arabidopsis kamchatica subsp. kamchatica	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	kamchatica		1219863	DRS033943	DRP003263
	SAMD00035306	UZH							DRX049292	DRX049292	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. kamchatica MUR leaf control	PAIRED	200		DRR054443	DRR054443	SAMD00035306	SAMD00035306	control leaf tissue of A. kamchatica subsp. kamchatica for RNA-seq	A. kamchatica MUR		Arabidopsis kamchatica subsp. kamchatica	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	kamchatica		1219863	DRS033944	DRP003263
	SAMD00035307	UZH							DRX049293	DRX049293	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. kamchatica MUR leaf zinc treatment	PAIRED	200		DRR054444	DRR054444	SAMD00035307	SAMD00035307	zinc treated leaf tissue of A. kamchatica subsp. kamchatica for RNA-seq	A. kamchatica MUR L48hZ		Arabidopsis kamchatica subsp. kamchatica	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	kamchatica		1219863	DRS033945	DRP003263
	SAMD00035308	UZH							DRX049294	DRX049294	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. kamchatica MUR root zinc treatment	PAIRED	200		DRR054445	DRR054445	SAMD00035308	SAMD00035308	zinc treated root tissue of A. kamchatica subsp. kamchatica for RNA-seq	A. kamchatica MUR R48hZ		Arabidopsis kamchatica subsp. kamchatica	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	kamchatica		1219863	DRS033946	DRP003263
	SAMD00035309	UZH							DRX049295	DRX049295	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. kamchatica MUR root control	PAIRED	200		DRR054446	DRR054446	SAMD00035309	SAMD00035309	control root tissue of A. kamchatica subsp. kamchatica for RNA-seq	A. kamchatica MUR R0		Arabidopsis kamchatica subsp. kamchatica	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	kamchatica		1219863	DRS033947	DRP003263
	SAMD00035310	UZH							DRX049296	DRX049296	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. lyrata leaf control	PAIRED	200		DRR054447	DRR054447	SAMD00035310	SAMD00035310	control leaf tissue of A. lyrata subsp. petraea for RNA-seq	A. lyarta L0		Arabidopsis lyrata subsp. petraea	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	petraea		59691	DRS033948	DRP003263
	SAMD00035311	UZH							DRX049297	DRX049297	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. lyrata leaf zinc treatment	PAIRED	200		DRR054448	DRR054448	SAMD00035311	SAMD00035311	zinc treated leaf tissue of A. lyrata subsp. petraea for RNA-seq	A. lyarta L48hZ		Arabidopsis lyrata subsp. petraea	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	petraea		59691	DRS033949	DRP003263
	SAMD00035312	UZH							DRX049298	DRX049298	Illumina HiSeq 2500	ILLUMINA				RNA-Seq	TRANSCRIPTOMIC	RANDOM	A. lyrata root control	PAIRED	200		DRR054449	DRR054449	SAMD00035312	SAMD00035312	control root tissue of A. lyrata subsp. petraea for RNA-seq	A. lyarta R0		Arabidopsis lyrata subsp. petraea	PRJDB4054	DRP003263	Zinc accumulation and transcriptional response in the allopolyploid Arabidopsis kamchatica	petraea		59691	DRS033950	DRP003263
