Run,Assay Type,BioProject,BioSample,Center Name,common_name,Consent,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,Submitter_Id,Title,population,collection_year,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region
ERR5095364,RAD-Seq,PRJEB42417,SAMEA7805939,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901112,SAMEA7805939,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:22Z,2021-01-13T13:07:27Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805939,14_l2_sample_201404RG0CT--PNR112,ERS5553190,ERP126269,14_l2_sample_201404RG0CT--PNR112,14_l2_sample_201404RG0CT--PNR112,CTPN,2014,87,624237,451446,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US"
ERR5095365,RAD-Seq,PRJEB42417,SAMEA7805948,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901113,SAMEA7805948,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:22Z,2021-01-13T13:07:27Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805948,14_l2_sample_201404RG0CT--PNRx13,ERS5553199,ERP126269,14_l2_sample_201404RG0CT--PNRx13,14_l2_sample_201404RG0CT--PNRx13,CTPN,2014,87,307985,262043,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public"
ERR5095366,RAD-Seq,PRJEB42417,SAMEA7805949,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901114,SAMEA7805949,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:22Z,2021-01-13T13:07:27Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805949,14_l2_sample_201404RG0CT--PNRx16,ERS5553200,ERP126269,14_l2_sample_201404RG0CT--PNRx16,14_l2_sample_201404RG0CT--PNRx16,CTPN,2014,87,262130,233475,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public"
ERR5095367,RAD-Seq,PRJEB42417,SAMEA7805935,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901115,SAMEA7805935,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:22Z,2021-01-13T13:07:27Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805935,14_l2_sample_201404RG0CT--PNR100,ERS5553186,ERP126269,14_l2_sample_201404RG0CT--PNR100,14_l2_sample_201404RG0CT--PNR100,CTPN,2014,87,16851,90119,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1"
ERR5095368,RAD-Seq,PRJEB42417,SAMEA7805951,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901116,SAMEA7805951,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:23Z,2021-01-13T13:07:27Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805951,14_l2_sample_201404RG0CT--PNRx22,ERS5553202,ERP126269,14_l2_sample_201404RG0CT--PNRx22,14_l2_sample_201404RG0CT--PNRx22,CTPN,2014,87,1255896,822882,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US"
ERR5095369,RAD-Seq,PRJEB42417,SAMEA7805980,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901117,SAMEA7805980,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:23Z,2021-01-13T13:07:27Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805980,14_l2_sample_201404RG0CT---RP105,ERS5553231,ERP126269,14_l2_sample_201404RG0CT---RP105,14_l2_sample_201404RG0CT---RP105,CTRP,2014,90,3939976,2436503,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US"
ERR5095370,RAD-Seq,PRJEB42417,SAMEA7806003,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901118,SAMEA7806003,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:24Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7806003,14_l2_sample_201404RG0CT---RP186,ERS5553254,ERP126269,14_l2_sample_201404RG0CT---RP186,14_l2_sample_201404RG0CT---RP186,CTRP,2014,90,3012413,1840124,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US"
ERR5095371,RAD-Seq,PRJEB42417,SAMEA7805985,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901119,SAMEA7805985,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:23Z,2021-01-13T13:07:28Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805985,14_l2_sample_201404RG0CT---RP129,ERS5553236,ERP126269,14_l2_sample_201404RG0CT---RP129,14_l2_sample_201404RG0CT---RP129,CTRP,2014,90,4216801,2581822,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public"
ERR5095372,RAD-Seq,PRJEB42417,SAMEA7805979,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901120,SAMEA7805979,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:23Z,2021-01-13T13:07:27Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805979,14_l2_sample_201404RG0CT--PNRxx7,ERS5553230,ERP126269,14_l2_sample_201404RG0CT--PNRxx7,14_l2_sample_201404RG0CT--PNRxx7,CTPN,2014,87,783753,545317,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public"
ERR5095373,RAD-Seq,PRJEB42417,SAMEA7805975,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,thale cress,public,2021-01-14,2021-01-14,2021-01-14,2021-01-13,ERX4901121,SAMEA7805975,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,2021-01-14T17:19:23Z,2021-01-13T13:07:27Z,public,Illumina HiSeq 3000,SINGLE,Reduced Representation,GENOMIC,Arabidopsis thaliana,ILLUMINA,2021-01-31T00:00:00Z,SAMEA7805975,14_l2_sample_201404RG0CT--PNRx94,ERS5553226,ERP126269,14_l2_sample_201404RG0CT--PNRx94,14_l2_sample_201404RG0CT--PNRx94,CTPN,2014,87,1202017,787098,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US"
