Run,Alias,amount_or_size_of_sample_collected,Assay Type,biological_status,BioProject,BioSample,Center Name,collected_by,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,ENA_checklist,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),estimated_size,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(altitude),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),growth_facility,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,isolation_and_growth_condition,Library Name,LibraryLayout,LibrarySelection,LibrarySource,number_of_replicons,organism_common_name,Organism,plant_developmental_stage,plant_growth_medium,plant_structure,Platform,ploidy,propagation,ReleaseDate,sample_collection_device_or_method,sample_health_state,Sample Name,Sample_name,sampling_time_point,SRA_accession,SRA Study,title,AvgSpotLen,Bases,Bytes,sub_species,subspecific_genetic_lineage_name,subspecific_genetic_lineage_rank
ERR2088729,Snowdonia_AT2a,0.01,WGS,wild,PRJEB22018,SAMEA104188560,"ROYAL BOTANIC GARDENS, KEW","Alexander S. T. Papadopulos\, Royal Botanic Gardens\, Kew.",2016-05-18,public,"fastq,sra","gs,ncbi,ena,s3","ncbi.public,gs.US,ena,s3.us-east-1","Arabidopsis thaliana\, wild sample.",ERC000037,2017-08-16,2018-11-16,106Mbp,ERX2145523,United Kingdom,Europe,60,United Kingdom,52.945976,-4.002730,"Snowdonia National Park\, Wales",field,"Royal Botanic Gardens\, Kew","Royal Botanic Gardens\, Kew",2017-08-16T17:01:56Z,2017-07-31T16:40:25Z,public,Illumina MiSeq,NA: Wild,AT2a_S2,PAIRED,RANDOM,GENOMIC,0,Thale cress,Arabidopsis thaliana,Mature,soil,Leaf,ILLUMINA,diploid,NA: Wild,2017-08-21T00:00:00Z,Hand / scissors,healthy,SAMEA104188560,ERS1847578,10:00 UTC,ERS1847578,ERP024335,AT2a,563,2263349925,1104877418,,,
ERR2088730,Snowdonia_AT1a,0.01,WGS,wild,PRJEB22018,SAMEA104188559,"ROYAL BOTANIC GARDENS, KEW","Alexander S. T. Papadopulos\, Royal Botanic Gardens\, Kew.",2016-05-18,public,"sra,fastq","ncbi,ena,s3,gs","ncbi.public,s3.us-east-1,ena,gs.US","Arabidopsis thaliana\, wild sample.",ERC000037,2017-08-16,2018-11-16,106Mbp,ERX2145524,United Kingdom,Europe,60,United Kingdom,52.945976,-4.002730,"Snowdonia National Park\, Wales",field,"Royal Botanic Gardens\, Kew","Royal Botanic Gardens\, Kew",2017-08-16T17:01:56Z,2017-07-31T16:40:25Z,public,Illumina MiSeq,NA: Wild,AT1a_S1,PAIRED,RANDOM,GENOMIC,0,Thale cress,Arabidopsis thaliana,Mature,soil,Leaf,ILLUMINA,diploid,NA: Wild,2017-08-21T00:00:00Z,Hand / scissors,healthy,SAMEA104188559,ERS1847577,10:00 UTC,ERS1847577,ERP024335,AT1a,565,2523537804,1224699074,,,
ERR2088731,Snowdonia_AL2a,0.01,WGS,wild,PRJEB22018,SAMEA104188562,"ROYAL BOTANIC GARDENS, KEW","Alexander S. T. Papadopulos\, Royal Botanic Gardens\, Kew.",2016-05-19,public,fastq,ena,ena,"Arabidopsis lyrata (ssp. petraea)\, wild sample.",ERC000037,2017-08-16,2018-11-16,206Mbp,ERX2145525,United Kingdom,Europe,700,United Kingdom,52.985168,-4.003754,"Snowdonia National Park\, Wales",field,"Royal Botanic Gardens\, Kew","Royal Botanic Gardens\, Kew",2017-08-16T17:01:56Z,2017-07-31T16:40:25Z,public,Illumina MiSeq,NA: Wild,AL2a_S4,PAIRED,RANDOM,GENOMIC,0,Rock-cress,Arabidopsis lyrata subsp. petraea,Mature,soil,Leaf,ILLUMINA,diploid,NA: Wild,2017-08-21T00:00:00Z,Hand / scissors,healthy,SAMEA104188562,ERS1847580,11:00 UTC,ERS1847580,ERP024335,AL2a,,,,petraea,petraea,Subspecies (contested)
ERR2088732,Snowdonia_AL1a,0.01,WGS,wild,PRJEB22018,SAMEA104188561,"ROYAL BOTANIC GARDENS, KEW","Alexander S. T. Papadopulos\, Royal Botanic Gardens\, Kew.",2016-05-19,public,fastq,ena,ena,"Arabidopsis lyrata (ssp. petraea)\, wild sample.",ERC000037,2017-08-16,2018-11-16,206Mbp,ERX2145526,United Kingdom,Europe,700,United Kingdom,52.985168,-4.003754,"Snowdonia National Park\, Wales",field,"Royal Botanic Gardens\, Kew","Royal Botanic Gardens\, Kew",2017-08-16T17:01:56Z,2017-07-31T16:40:25Z,public,Illumina MiSeq,NA: Wild,AL1a_S3,PAIRED,RANDOM,GENOMIC,0,Rock-cress,Arabidopsis lyrata subsp. petraea,Mature,soil,Leaf,ILLUMINA,diploid,NA: Wild,2017-08-21T00:00:00Z,Hand / scissors,healthy,SAMEA104188561,ERS1847579,11:00 UTC,ERS1847579,ERP024335,AL1a,,,,petraea,petraea,Subspecies (contested)
ERR2088733,Snowdonia_AT1a,0.01,WGS,wild,PRJEB22018,SAMEA104188559,"ROYAL BOTANIC GARDENS, KEW","Alexander S. T. Papadopulos\, Royal Botanic Gardens\, Kew.",2016-05-18,public,"fastq,sra","gs,ncbi,ena,s3","s3.us-east-1,ncbi.public,ena,gs.US","Arabidopsis thaliana\, wild sample.",ERC000037,2017-08-16,2018-11-16,106Mbp,ERX2145527,United Kingdom,Europe,60,United Kingdom,52.945976,-4.002730,"Snowdonia National Park\, Wales",field,"Royal Botanic Gardens\, Kew","Royal Botanic Gardens\, Kew",2017-08-16T17:01:56Z,2017-07-31T16:40:25Z,public,Illumina MiSeq,NA: Wild,AT1a_S1,SINGLE,RANDOM,GENOMIC,0,Thale cress,Arabidopsis thaliana,Mature,soil,Leaf,ILLUMINA,diploid,NA: Wild,2017-08-21T00:00:00Z,Hand / scissors,healthy,SAMEA104188559,ERS1847577,10:00 UTC,ERS1847577,ERP024335,AT1a,246,341652872,162360821,,,
ERR2088734,Snowdonia_AT1a,0.01,WGS,wild,PRJEB22018,SAMEA104188559,"ROYAL BOTANIC GARDENS, KEW","Alexander S. T. Papadopulos\, Royal Botanic Gardens\, Kew.",2016-05-18,public,"fastq,sra","s3,ncbi,gs,ena","ncbi.public,gs.US,ena,s3.us-east-1","Arabidopsis thaliana\, wild sample.",ERC000037,2017-08-16,2018-11-16,106Mbp,ERX2145528,United Kingdom,Europe,60,United Kingdom,52.945976,-4.002730,"Snowdonia National Park\, Wales",field,"Royal Botanic Gardens\, Kew","Royal Botanic Gardens\, Kew",2017-08-16T17:01:56Z,2017-07-31T16:40:25Z,public,Illumina MiSeq,NA: Wild,AT1a_S1,SINGLE,RANDOM,GENOMIC,0,Thale cress,Arabidopsis thaliana,Mature,soil,Leaf,ILLUMINA,diploid,NA: Wild,2017-08-21T00:00:00Z,Hand / scissors,healthy,SAMEA104188559,ERS1847577,10:00 UTC,ERS1847577,ERP024335,AT1a,242,14596532,9399777,,,
ERR2088735,Snowdonia_AT2a,0.01,WGS,wild,PRJEB22018,SAMEA104188560,"ROYAL BOTANIC GARDENS, KEW","Alexander S. T. Papadopulos\, Royal Botanic Gardens\, Kew.",2016-05-18,public,"fastq,sra","ena,ncbi,s3,gs","ncbi.public,ena,gs.US,s3.us-east-1","Arabidopsis thaliana\, wild sample.",ERC000037,2017-08-16,2018-11-16,106Mbp,ERX2145529,United Kingdom,Europe,60,United Kingdom,52.945976,-4.002730,"Snowdonia National Park\, Wales",field,"Royal Botanic Gardens\, Kew","Royal Botanic Gardens\, Kew",2017-08-16T17:01:56Z,2017-07-31T16:40:25Z,public,Illumina MiSeq,NA: Wild,AT2a_S2,SINGLE,RANDOM,GENOMIC,0,Thale cress,Arabidopsis thaliana,Mature,soil,Leaf,ILLUMINA,diploid,NA: Wild,2017-08-21T00:00:00Z,Hand / scissors,healthy,SAMEA104188560,ERS1847578,10:00 UTC,ERS1847578,ERP024335,AT2a,246,342110787,162845400,,,
ERR2088736,Snowdonia_AT2a,0.01,WGS,wild,PRJEB22018,SAMEA104188560,"ROYAL BOTANIC GARDENS, KEW","Alexander S. T. Papadopulos\, Royal Botanic Gardens\, Kew.",2016-05-18,public,"fastq,sra","ncbi,ena,gs,s3","ena,s3.us-east-1,ncbi.public,gs.US","Arabidopsis thaliana\, wild sample.",ERC000037,2017-08-16,2018-11-16,106Mbp,ERX2145530,United Kingdom,Europe,60,United Kingdom,52.945976,-4.002730,"Snowdonia National Park\, Wales",field,"Royal Botanic Gardens\, Kew","Royal Botanic Gardens\, Kew",2017-08-16T17:01:56Z,2017-07-31T16:40:25Z,public,Illumina MiSeq,NA: Wild,AT2a_S2,SINGLE,RANDOM,GENOMIC,0,Thale cress,Arabidopsis thaliana,Mature,soil,Leaf,ILLUMINA,diploid,NA: Wild,2017-08-21T00:00:00Z,Hand / scissors,healthy,SAMEA104188560,ERS1847578,10:00 UTC,ERS1847578,ERP024335,AT2a,240,12769643,8233445,,,
ERR2088737,Snowdonia_AL1a,0.01,WGS,wild,PRJEB22018,SAMEA104188561,"ROYAL BOTANIC GARDENS, KEW","Alexander S. T. Papadopulos\, Royal Botanic Gardens\, Kew.",2016-05-19,public,"fastq,sra","gs,s3,ncbi,ena","ena,ncbi.public,s3.us-east-1,gs.US","Arabidopsis lyrata (ssp. petraea)\, wild sample.",ERC000037,2017-08-16,2018-11-16,206Mbp,ERX2145531,United Kingdom,Europe,700,United Kingdom,52.985168,-4.003754,"Snowdonia National Park\, Wales",field,"Royal Botanic Gardens\, Kew","Royal Botanic Gardens\, Kew",2017-08-16T17:01:56Z,2017-07-31T16:40:25Z,public,Illumina MiSeq,NA: Wild,AL1a_S3,SINGLE,RANDOM,GENOMIC,0,Rock-cress,Arabidopsis lyrata subsp. petraea,Mature,soil,Leaf,ILLUMINA,diploid,NA: Wild,2017-08-21T00:00:00Z,Hand / scissors,healthy,SAMEA104188561,ERS1847579,11:00 UTC,ERS1847579,ERP024335,AL1a,243,353555600,175904337,petraea,petraea,Subspecies (contested)
ERR2088738,Snowdonia_AL1a,0.01,WGS,wild,PRJEB22018,SAMEA104188561,"ROYAL BOTANIC GARDENS, KEW","Alexander S. T. Papadopulos\, Royal Botanic Gardens\, Kew.",2016-05-19,public,"sra,fastq","gs,s3,ena,ncbi","s3.us-east-1,ncbi.public,ena,gs.US","Arabidopsis lyrata (ssp. petraea)\, wild sample.",ERC000037,2017-08-16,2018-11-16,206Mbp,ERX2145532,United Kingdom,Europe,700,United Kingdom,52.985168,-4.003754,"Snowdonia National Park\, Wales",field,"Royal Botanic Gardens\, Kew","Royal Botanic Gardens\, Kew",2017-08-16T17:01:56Z,2017-07-31T16:40:25Z,public,Illumina MiSeq,NA: Wild,AL1a_S3,SINGLE,RANDOM,GENOMIC,0,Rock-cress,Arabidopsis lyrata subsp. petraea,Mature,soil,Leaf,ILLUMINA,diploid,NA: Wild,2017-08-21T00:00:00Z,Hand / scissors,healthy,SAMEA104188561,ERS1847579,11:00 UTC,ERS1847579,ERP024335,AL1a,241,16079006,10340959,petraea,petraea,Subspecies (contested)
