bioproject	sra_run
PRJEB22018	ERR2088732
PRJEB22018	ERR2088731
PRJEB19780	ERR2026739
PRJEB19780	ERR2026740
PRJDB4054	DRR054434
PRJNA273563	SRR1946539
PRJDB4504	DRR054581
PRJNA273563	SRR1945754
PRJNA293798	SRR6414595
PRJDB6166	DRR100001
PRJNA493227	SRR7904950
PRJNA493227	SRR7904936
PRJNA284572	SRR2084157
PRJNA284572	SRR2084154
PRJDB1393	DRR013373
PRJNA493227	SRR7904947
PRJNA493227	SRR7904949
PRJEB42417	ERR5100655
PRJNA493227	SRR7904945
PRJNA493227	SRR7904948
PRJNA284572	SRR2084158
PRJNA493227	SRR7904943
PRJNA493227	SRR7904946
