study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	study_alias	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	nominal_sdev
PRJEB19338	SAMEA80156668	ERS1544990	ERX1880017	ERR1817518	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07C	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-06-02-2017-13:52:56:582-1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1817518/ERR1817518.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1817518/ERR1817518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1817518/ERR1817518_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR181/ERR1817518/p07C_Nuc.bam		07C	PA2	0
PRJEB19338	SAMEA80212168	ERS1545064	ERX1880629	ERR1818130	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07F	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-06-02-2017-17:10:09:332-1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1818130/ERR1818130.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1818130/ERR1818130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1818130/ERR1818130_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR181/ERR1818130/p07F_Nuc.bam		07F	NY3	0
PRJEB19338	SAMEA80212918	ERS1545065	ERX1880630	ERR1818131	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07N	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-06-02-2017-17:10:09:332-2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1818131/ERR1818131.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1818131/ERR1818131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1818131/ERR1818131_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR181/ERR1818131/p07N_Nuc.bam		07N	MI3	0
PRJEB19338	SAMEA80221168	ERS1545076	ERX1883122	ERR1820620	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07E	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1820620/ERR1820620.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1820620/ERR1820620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1820620/ERR1820620_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820620/p07E_Nuc.bam		07E	NY2	0
PRJEB19338	SAMEA80221918	ERS1545077	ERX1883123	ERR1820621	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07G	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1820621/ERR1820621.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1820621/ERR1820621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1820621/ERR1820621_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820621/p07G_Nuc.bam		07G	NY5	0
PRJEB19338	SAMEA80222668	ERS1545078	ERX1883124	ERR1820622	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07H	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1820622/ERR1820622.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1820622/ERR1820622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1820622/ERR1820622_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820622/p07H_Nuc.bam		07H	PA4	0
PRJEB19338	SAMEA80223418	ERS1545079	ERX1883125	ERR1820623	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07K	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1820623/ERR1820623.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1820623/ERR1820623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1820623/ERR1820623_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820623/p07K_Nuc.bam		07K	IL2	0
PRJEB19338	SAMEA80224168	ERS1545080	ERX1883126	ERR1820624	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07L	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/004/ERR1820624/ERR1820624.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/004/ERR1820624/ERR1820624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/004/ERR1820624/ERR1820624_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820624/p07L_Nuc.bam		07L	MI1	0
PRJEB19338	SAMEA80224918	ERS1545081	ERX1883127	ERR1820625	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07M	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/005/ERR1820625/ERR1820625.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/005/ERR1820625/ERR1820625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/005/ERR1820625/ERR1820625_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820625/p07M_Nuc.bam		07M	MI2	0
PRJEB19338	SAMEA80225668	ERS1545082	ERX1883128	ERR1820626	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	07O	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-07-02-2017-10:28:17:217-7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/006/ERR1820626/ERR1820626.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/006/ERR1820626/ERR1820626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/006/ERR1820626/ERR1820626_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1820626/p07O_Nuc.bam		07O	MI4	0
